ID	gene_symbol	logFC	AveExpr	P.Value	adj.P.Val
TC03000689.hg.1	COPG1	-1.4303489824561293	7.797257272727273	3.124788944016806e-5	0.004062969624589471
TC01003722.hg.1	FMOD	-1.6962136315789378	7.750472227272727	3.419236341416825e-5	0.004342430153599368
TC01000508.hg.1	ZMPSTE24	-1.0893184210526243	6.089697	3.642548948261519e-5	0.004520899956012762
TC02002504.hg.1	STK39	-1.41187736842104	7.253165363636364	3.8882749284742885e-5	0.004718637640977353
TC03001473.hg.1	ACTR8	-0.6522868771929717	6.039553	4.147231910810747e-5	0.00490316854943575
TC01001101.hg.1	GPR89C	-0.9322882456140285	6.584000636363636	4.2199033478022384e-5	0.00490316854943575
TC03000670.hg.1	SEC61A1	-1.0540112105263102	6.906631590909091	4.3421111450459616e-5	0.004940056033978332
TC02001974.hg.1	PAIP2B	-2.0296788245613975	6.269348227272728	4.434881978831584e-5	0.004942630711510057
TC02002726.hg.1	IDH1	-1.7426892982456037	7.677886818181818	4.572026114068109e-5	0.004993566921785189
TC03000583.hg.1	ATP6V1A	-0.8394833859649058	6.681431954545454	4.777979787541558e-5	0.0051161858077969505
TC03001757.hg.1	RPN1	-1.0198060701754308	8.499600727272727	5.0341892185915334e-5	0.0052725718829418535
TC01003229.hg.1	TDRKH	-0.5984939649122758	5.659197181818182	5.117127079214763e-5	0.0052725718829418535
TC01002197.hg.1	MTOR	-0.6183915614035023	6.1608042272727275	5.2863340338910746e-5	0.005346050029459103
TC02001419.hg.1	DGKD	-0.3842990175438574	5.572703727272727	5.4047329393973475e-5	0.005366408469463439
TC03000566.hg.1	ABHD10	-0.699230456140346	5.774577818181818	5.590368846758869e-5	0.0054516079057411035
TC03000707.hg.1	ATP2C1	-1.5889125438596379	8.067887681818181	5.891131958789192e-5	0.005644117829289083
TC01002884.hg.1	ARHGAP29	-0.9945141754385833	6.3939497272727275	6.117675725726167e-5	0.005760108127274241
TC03001982.hg.1	TERC	-1.6611913684210418	7.074906727272727	6.467634427340123e-5	0.005893461638735521
TC03001711.hg.1	PTPLB	-1.8370002807017443	6.759996090909091	6.48697201285985e-5	0.005893461638735521
TC01002020.hg.1	OR2L8	-1.039629754385956	4.333838272727273	6.583064639495821e-5	0.005893461638735521
TC03001323.hg.1	SEC22C	-0.5331025614035001	6.635321909090909	7.056682953026069e-5	0.00617970361471407
TC02002628.hg.1	TMEFF2	-3.0743643157894684	6.666134181818181	7.129121547829819e-5	0.00617970361471407
TC01003750.hg.1	ELK4	-1.3027280701754274	6.355315	9.151783323254692e-5	0.007807423843525071
TC01001842.hg.1	DEGS1	-0.9852531403508618	8.565241227272727	9.292850207455221e-5	0.007807423843525071
TC03000798.hg.1	AGTR1	-0.6968477543859599	5.351919272727273	9.444986140441046e-5	0.007815010501961903
TC03000955.hg.1	ACTL6A	-0.6356415263157835	6.2705008636363635	1.0642942425522036e-4	0.0086747923262352
TC01001463.hg.1	DCAF6	-1.2363809298245503	8.265606136363637	1.1447529156270794e-4	0.009193375988587472
TC01001658.hg.1	PKP1	-0.5118374385964861	5.335519909090909	1.3291792590667425e-4	0.010407996816554093
TC01002652.hg.1	NRD1	-1.0128089122806898	7.618745727272727	1.352859313543902e-4	0.010407996816554093
TC03000914.hg.1	PRKCI	-1.0414953859649092	6.662539045454546	1.3575335318497238e-4	0.010407996816554093
TC01001818.hg.1	C1orf115	-0.5504204385964862	4.122364227272727	1.372231772188051e-4	0.010407996816554093
TC02001235.hg.1	PIKFYVE	-1.0348965614035022	7.070457363636364	1.4301007354954149e-4	0.010698328926767755
TC01000580.hg.1	TSPAN1	-2.3077608421052513	8.921931818181818	1.623485402165152e-4	0.011980883488140397
TC01000319.hg.1	TMEM50A	-1.2698415263157816	7.574774681818182	1.678672501780592e-4	0.012222974042965082
TC01002517.hg.1	MEAF6	-1.3223169824561314	8.913622636363636	1.759529172668125e-4	0.012643143173606094
TC02001089.hg.1	DNAJC10	-1.358082438596476	7.473817954545455	1.9309930861094077e-4	0.013695004212004513
TC01000926.hg.1	NTNG1	-0.6791186315789428	4.948927454545455	1.9968831090251787e-4	0.013980741869726284
TC03000423.hg.1	GPR27	-0.5003700526315722	5.7396982272727275	2.1112175273902884e-4	0.014486491829643544
TC02000824.hg.1	CYP4F30P	-3.6859501052631467	6.156774454545454	2.122174228843588e-4	0.014486491829643544
TC01000549.hg.1	KDM4A	-0.488227192982448	5.832373909090909	2.290961014720468e-4	0.01544560259430676
TC03000672.hg.1	EEFSEC	-0.2687134210526283	5.221399318181819	2.4321847518635398e-4	0.016197757231618037
TC02000764.hg.1	GLI2	0.21202431578947945	5.122488909090909	2.557967851488089e-4	0.016830195707200547
TC01002186.hg.1	CLSTN1	-0.7831230877192903	7.313911090909091	2.6294380497007754e-4	0.016993210384725448
TC02001030.hg.1	ITGA6	-0.6913760526315729	6.3027165	2.6449787267930104e-4	0.016993210384725448
TC03000353.hg.1	CACNA2D3	0.37205219298246295	5.131675136363636	2.737526775865589e-4	0.01738329502674649
TC02001991.hg.1	RNA5SP97	0.9951837894736926	7.540214909090909	2.8702465144569663e-4	0.018016570362585624
TC02000927.hg.1	KIF5C	-1.6951385964912191	6.970868	3.032874832960557e-4	0.01842237299337234
TC02001475.hg.1	PPP1R7	-0.6495461403508687	6.540099	3.040855012527828e-4	0.01842237299337234
TC02002733.hg.1	LANCL1	-0.599056052631572	5.649491409090909	3.0481806598692794e-4	0.01842237299337234
TC01001218.hg.1	OAZ3	-0.41600184210525537	5.962863681818182	3.0698332583718784e-4	0.01842237299337234
TC02001297.hg.1	PNKD	-0.2739399824561346	5.233311136363636	3.311259600956982e-4	0.019655205087854434
TC01000685.hg.1	PRKAA2	-1.1828342105263028	5.924341363636364	3.463019730439949e-4	0.02033500080422856
TC03001937.hg.1	PA2G4P4	0.475472859649126	5.379512318181819	3.5335057859720416e-4	0.02052816499701417
TC01002316.hg.1	DDOST	-0.5858813859649068	6.773343863636364	3.6305562500569015e-4	0.020869965980590252
TC02001178.hg.1	STRADB	-0.5032947192982409	6.312410045454546	3.7818961999307367e-4	0.021436626699548666
TC01001111.hg.1	PDIA3P	-0.8748822807017493	6.398493181818182	3.8468751560377255e-4	0.021436626699548666
TC04000196.hg.1	PCDH7	0.7008456842105337	6.109136818181818	3.857318847563915e-4	0.021436626699548666
TC01000469.hg.1	THRAP3	-1.4234587192982362	8.125940954545454	3.895719917279376e-4	0.021436626699548666
TC02000074.hg.1	GREB1	-1.7467225263157813	6.176570909090909	3.925403167835317e-4	0.021436626699548666
TC01003916.hg.1	HIST3H2A	-0.695123894736839	4.960403727272727	4.242145880656268e-4	0.022902475361083478
TC02001459.hg.1	MIR4269	-0.6940976491228001	4.587559363636363	4.2777009464027e-4	0.022902475361083478
TC03002076.hg.1	EHHADH	-0.27484189473683696	4.724613545454545	4.471409536179952e-4	0.023707152890367685
TC01002972.hg.1	LAMTOR5	-0.4495436315789405	5.666137772727272	4.537895505300632e-4	0.023828314763891106
TC01001900.hg.1	RAB4A	-1.0267844035087608	7.352743318181818	4.6866017482550463e-4	0.024276910760643807
TC02001126.hg.1	MYO1B	-0.9911386842105214	6.321765590909091	4.745823478018835e-4	0.024276910760643807
TC01000651.hg.1	CPT2	-0.35818092982455507	5.1107985909090905	4.756691908787562e-4	0.024276910760643807
TC01000479.hg.1	C1orf122	-0.24074331578946673	4.911131318181818	4.895400792044573e-4	0.02457445162703839
TC02000751.hg.1	DBI	-0.6118421052631504	8.233474909090909	4.904990344895046e-4	0.02457445162703839
TC01002326.hg.1	RAP1GAP	-0.28827170175438166	5.365358409090909	5.166604169188444e-4	0.02535558780984912
TC03000953.hg.1	MFN1	-0.9611411052631462	6.904934590909091	5.192858711899309e-4	0.02535558780984912
TC01001814.hg.1	IARS2	-0.8104160350877168	6.921221909090909	5.200193800957886e-4	0.02535558780984912
TC02000374.hg.1	SLC1A4	-0.45820185964911886	5.997290545454545	5.275564244219292e-4	0.025495448086443856
TC01003235.hg.1	C2CD4D	-0.43028607017542875	5.652604636363637	5.458636820498121e-4	0.026148785681351084
TC02001703.hg.1	TRMT61B	-0.6489946842105221	5.562336590909091	5.54204021913221e-4	0.026317462292766085
TC02002731.hg.1	ACADL	-1.716865526315785	5.0855945	5.697860707841973e-4	0.02682415286683191
TC02001941.hg.1	CNRIP1	0.2618154035087752	5.244916636363636	5.955259868760017e-4	0.027573453341481386
TC01002300.hg.1	CAPZB	-0.605505122807009	7.687329090909091	5.958006764868711e-4	0.027573453341481386
TC02000146.hg.1	RAB10	-1.193071684210512	10.17550990909091	6.175979857157923e-4	0.028342038655411274
TC02002037.hg.1	RETSAT	-0.6747121578947306	6.485855045454546	6.51387050313347e-4	0.02964353901467657
TC03001717.hg.1	ITGB5	-0.48874682456139595	6.422542136363637	6.583056090359546e-4	0.02971080108219296
TC01001793.hg.1	KCTD3	-1.1477008771929738	7.463656454545454	6.857871050327815e-4	0.030687211374235447
TC02005023.hg.1	MEMO1	-0.414055280701743	6.6980201363636365	6.921151764842401e-4	0.030687211374235447
TC01001317.hg.1	TMEM79	-0.247517192982448	5.975660818181818	6.967980608689243e-4	0.030687211374235447
TC01001274.hg.1	ATP8B2	-0.4458900877192935	6.450866772727273	7.047506201899519e-4	0.030789145094858618
TC02002136.hg.1	AFF3	-0.9123161929824501	5.9367552272727275	7.329831069380335e-4	0.03175311439764821
TC01004008.hg.1	MT1P2	-0.5363509824561392	3.4436234545454547	7.397241633005994e-4	0.03175311439764821
TC01001551.hg.1	SOAT1	-1.440401596491217	7.576583136363636	7.51085134592041e-4	0.03175311439764821
TC02002492.hg.1	GALNT3	-0.9518202280701669	6.271325772727272	7.570043534002596e-4	0.03175311439764821
TC02000150.hg.1	EPT1	-0.6766284736842012	5.750344045454545	7.624504075149103e-4	0.03175311439764821
TC03001506.hg.1	FHIT	-0.3462678947368367	5.262761454545455	7.654915608788191e-4	0.03175311439764821
TC02000830.hg.1	POTEE	-3.8892720350877132	7.464955909090909	7.675171398076476e-4	0.03175311439764821
TC01000429.hg.1	TSSK3	-0.518106807017535	5.891392454545454	7.772993658056419e-4	0.03191602884710233
TC01000648.hg.1	SCP2	-0.8970858771929775	6.907457681818181	8.017116610180005e-4	0.03267274164790523
TC01003329.hg.1	SSR2	-0.4976161403508712	4.9601572727272725	8.309319604914822e-4	0.03361273656477025
TC01001559.hg.1	QSOX1	0.315254105263163	5.302132909090909	8.387363105535385e-4	0.03367896317597701
TC03001271.hg.1	DYNC1LI1	-0.7020467017543748	6.968060272727273	8.60314534594821e-4	0.03418202993582362
TC01001443.hg.1	MGST3	-0.4698514561403426	4.639645863636364	8.637832139065482e-4	0.03418202993582362
TC02002332.hg.1	CYP4F43P	-3.386567526315777	6.291372136363637	8.74637936118841e-4	0.03436257387874094
TC01001447.hg.1	UCK2	-0.5092286491227993	6.274949954545455	8.885148639252532e-4	0.0346584262278272
TC01003754.hg.1	SLC41A1	-0.38680477192981755	5.560948	8.949031277314782e-4	0.03466004241518867
TC02001973.hg.1	MCEE	-0.4281656315789393	4.821797590909091	9.153149591075452e-4	0.03489433250071673
TC01002477.hg.1	TMEM54	-0.43819703508771557	7.019033772727273	9.220770081350757e-4	0.03489433250071673
TC02002415.hg.1	MMADHC	-0.7271339999999942	7.169844636363636	9.225670029456139e-4	0.03489433250071673
TC01002727.hg.1	DOCK7	-0.7069935438596451	6.369387	9.265113006050038e-4	0.03489433250071673
TC01002456.hg.1	COL16A1	0.27710643859649675	5.995435863636364	9.803789614041328e-4	0.036353065983330275
TC02002102.hg.1	DUSP2	0.3355184385964991	5.840258590909091	9.82452233146498e-4	0.036353065983330275
TC02000856.hg.1	POTEKP	-2.992802228070163	6.6656505	9.852140204235271e-4	0.036353065983330275
TC02000476.hg.1	MRPL19	-0.5748725964912209	6.134258454545455	0.0010006022772906585	0.036673080780431445
TC02005005.hg.1	MOB4	-0.7435654912280665	7.830665136363637	0.0010075982910977396	0.036683295117898376
TC01000147.hg.1	AGTRAP	-0.3087415964912257	6.075856863636363	0.0010162590040906337	0.03675357894926458
TC03000599.hg.1	TUSC7	-0.83485942105262545	5.2167770454545455	0.0010341290505940797	0.03715380753483072
TC02002512.hg.1	METTL5	-0.5171011929824463	6.325171272727273	0.0010481616727326273	0.037411835913678936
TC02002697.hg.1	NDUFS1	-0.5524907192982393	6.847201590909091	0.001056469258868626	0.03741560982670832
TC01000124.hg.1	RBP7	-0.4825351754385858	6.844962409090909	0.0010649439023680876	0.03741560982670832
TC02002569.hg.1	TTC30A	-0.525509982456132	4.955320136363636	0.001068821668735854	0.03741560982670832
TC02002317.hg.1	POTEF	-3.457347578947357	7.434609909090909	0.0010859157062884075	0.03767502268086741
TC02002656.hg.1	SATB2	-0.2739857719298202	4.788629590909091	0.001090029954875856	0.03767502268086741
TC03000343.hg.1	SPCS1	-0.5286508070175353	5.707541272727273	0.001108218583884214	0.038062777903092405
TC02001560.hg.1	YWHAQ	-0.729180280701744	9.027516727272728	0.0011353048642908973	0.03874937414932869
TC02001441.hg.1	MLPH	-1.2630236842105163	7.605471818181818	0.001142563893526362	0.03875491566799666
TC02000054.hg.1	GRHL1	-0.35366975438595993	5.625508272727273	0.001200387615235794	0.04046491831359673
TC01002992.hg.1	KCND3	-0.4957153684210489	5.773196181818182	0.0012125745995453313	0.040624968638754935
TC01000953.hg.1	GSTM5	0.715899684210533	6.182917	0.0012610159649421202	0.04199029380822511
TC02000164.hg.1	KHK	0.2690671578947432	5.028905181818182	0.0013133682796367511	0.04346851015209877
TC03001751.hg.1	RUVBL1	-0.38065099999999497	5.851010954545455	0.0013419486604632858	0.04393137917166852
TC01001311.hg.1	RAB25	-1.0317886491227988	6.390240136363636	0.0013487133836772944	0.04393137917166852
TC03000337.hg.1	SMIM4	-0.7369964912280622	6.102565363636364	0.001351487218612033	0.04393137917166852
TC02002882.hg.1	USP40	-0.4231117543859586	5.967881636363637	0.0013852791468696537	0.04476336935535609
TC01000631.hg.1	OSBPL9	-0.5611229649122729	7.577401136363636	0.0014204166606134549	0.045579114715826125
TC01001895.hg.1	RNF187	-0.5809514561403457	7.145115863636364	0.0014272163736323506	0.045579114715826125
TC02000386.hg.1	MEIS1	1.161746175438604	7.041127909090909	0.0014640513575545173	0.0464651613684196
TC02001573.hg.1	PDIA6	-0.3573606140350778	6.695584045454545	0.0014719781938722927	0.0464651613684196
TC01002832.hg.1	COL24A1	0.20756777192983034	4.528107409090909	0.0014859130273517905	0.046635465760736364
TC03000049.hg.1	PRRT3-AS1	-0.656119912280694	8.604759318181818	0.0015455899635871398	0.04823123880656783
TC04000281.hg.1	OCIAD1	-0.6398594035087637	7.806805818181818	0.0015747055542617407	0.048860608135360035
TC02002076.hg.1	IGKV3-7	-0.5666922631578872	5.794414954545455	0.001592104685101539	0.04912137675333054
TC01000555.hg.1	ATP6V0B	-0.5498311929824533	6.229421454545455	0.0016073921393523745	0.04931442962361414
TC02002800.hg.1	CHPF	-0.28952266666666304	4.956622363636364	0.0016246705978029614	0.04950912946464993
TC01001094.hg.1	PEX11B	-0.32192014035086824	6.364381727272727	0.0016318702258994666	0.04950912946464993
