GSM1253375	GSM1253376	GSM1253377	GSM1253378	GSM1253379	GSM1253380	GSM1253381	GSM1253382	GSM1253383	GSM1253384	GSM1253385	GSM1253386	GSM1253387	GSM1253388	GSM1253389	GSM1253390	GSM1253391	GSM1253392	GSM1253393	GSM1253394	GSM1253395	GSM1253396	GSM1253397	GSM1253398	GSM1253399	GSM1253400	GSM1253401	GSM1253402	GSM1253403
ABCC2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC3	1	7	24	8	4	2943	14	2	14	14	132721	122720	59611	59712	16782	20015	13	388	15	4	4	21	0	0	0	5	729	0	0
ABCC4	1	0	1	162	2	1	6	6	2	1	0	4861	75550	2089	12359	2384	1	1	7	0	1	3	248	0	0	3	1	1	4
ABCC5	1	6	2	4	1	0	5	2	5	0	2	119	1	40	102	17	1	223	0	98	54	3	487	0	1	1	120	0	22
ABCC6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	111	20	0	0	0	0	0	3	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	10	0	0	0	0
ABCC9	0	4	0	0	0	2	0	5	0	3	0	0	0	17	0	2	8	0	0	0	0	0	4	0	0	0	0	0	0
ABCD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2245	8	0	0
ABCD2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	1370	2	0	0	2	0	0	1	6	0	0	1	0	0	1	0	0	325	411	846	498	5	80	41	126	0	92	0	1
ABCD4	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	1	349	0	509	0	0	155	0	0	1866	0	0	0
ABCE1	0	0	0	1	0	0	0	0	0	0	3	5	1	1	0	1	2	0	1398	436	122	508	511	519	15	3	365	0	19
ABCF1	0	0	0	82	0	0	5	0	1	0	0	1	1	1	1	0	2	0	236	0	533	35	504	435	181	18687	2371	0	45
ABCF2	0	0	2	4	1	0	0	0	6	2	0	0	1	1	1	0	0	800	30	778	205	781	272	0	0	2	424	224	1
ABCF3	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	278	2035	360	291	944	206	56	2	6	1432	0	0
ABCG1	0	0	1	0	0	0	0	0	0	0	2	88	0	0	0	0	1	0	9	16	0	0	73	0	0	2	422	2	0
ABCG2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	16	1	0	0	47	44	0	3	10	1	0	683	27	0	0
ABHD10	0	0	0	1	0	0	3	0	0	1	0	0	0	1	0	0	0	1	0	2	0	203	166	0	4	3	418	0	0
ABHD11	0	1	2	27	4	0	0	0	0	1	17	1	3	3	344	246	30	183	533	774	674	33	132	800	83	2580	1897	5	2
ABHD11-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ABHD12	0	3	2	0	7	1	0	3	2	0	1	65	1	0	0	33	1	0	2838	1770	0	35	0	35	651	8220	2329	224	30
ABHD12B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
ABHD13	0	0	2	6	0	0	1	0	0	1	0	0	0	0	0	262	1	43	0	0	2	1271	176	195	0	0	0	0	0
ABHD14A	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	72	0	0	0	0	0	0	0	0	0
ABHD14B	1	0	0	4	2	0	2	0	1	0	2	2	1	0	0	1	0	0	2	318	0	869	381	6	688	8	1714	1	0
ABHD15	0	0	0	0	0	0	4	3	3	0	128	0	0	25289	28	0	3	210	3	16	2	0	1	977	860	0	7	0	0
ABHD16A	2	4	3	74	2	186	3	0	14	3	536	18963	1154	8255	5004	2833	3	13	319	102	3	15	274	42	154	554	87	1	1
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABHD2	0	1	2	0	0	2	0	1	0	0	0	0	2	4104	3	0	0	0	112	106	3	1	377	1	0	1	446	10	5
ABHD3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	18	0	0	35	0	0	1	244	0	1
ABHD4	0	0	1	1	1	0	1	0	0	0	1	3	2	0	4346	1658	0	0	0	143	38	6	0	0	0	0	9	0	0
ABHD5	0	0	3	11	1	0	3	2	2	0	1	0	0	1	0	0	2	1	2289	114	0	1328	241	731	0	0	3	0	0
ABHD6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	22	0	0	0	0	0	0
ABHD8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	2	0	0
ABI1	2	0	1	57	1	1	1	0	14	1	3	1791	293	892	844	2220	1	6	1	18	45	137	53	0	35	0	31	2	241
ABI2	1	3	5	3	0	0	4	0	6	3	4	36357	0	0	412	1156	0	4	0	29	0	20	0	4	74	0	39	0	0
ABI3BP	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
ABL1	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	4	1009	19	7	0	215	150	370	0	112	0	0
ABL2	0	3	0	0	1	15	0	0	1	8	0	2	1	1	1	0	6	0	1	390	0	5	167	1	8	5	687	0	0
ABLIM1	1	1	6	1	6	12	3	2	1	2	2	3	30486	2	248	2288	4	393	18	648	0	23	266	823	135	4	806	3	4
ABLIM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	559	1	0	0	0	0
ABLIM3	0	1	2	0	0	0	0	0	0	1	7	1476	13	0	3	193	1	0	0	0	144	6	0	318	1	0	6	0	0
ABO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0
ABP1	0	2	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1
ABR	0	2	0	0	0	0	0	0	0	0	0	622	0	0	0	1515	1	0	0	6	0	68	30	0	0	0	403	0	9
ABRACL	0	1	0	2	0	0	7	2	2	2	0	0	1	0	0	5	4	0	526	367	0	519	57	573	267	0	9	0	4
ABT1	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	62	0	3	0	0	0	669	0	0	21	0	877
ABTB1	447	3	2473	102	0	0	0	0	1	0	0	0	0	3549	2	29	1	361	58	192	363	504	48	0	0	2	205	0	0
ABTB2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	80	0	198
ACAA1	0	0	0	2	4	0	4	3	0	0	0	0	0	2	1	0	1	4	159	1934	83	0	359	140	13	3	1140	2	8
ACAA2	3061	15	5096	0	0	0	0	2	1	4	0	0	1938	0	0	0	8	218	0	16	0	1	49	1	93	1	352	0	0
ACACA	10	0	0	2	2	1	0	2	0	0	0	0	3	0	1	0	8	1	1755	564	296	11	92	0	21	2	229	16	2
ACACB	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1872	0	0	0	0	2	319	0	0
ACAD10	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	337	0	0	0	0	0	0	49	0	185	0	0
ACAD11	0	0	0	7	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	27	928	553	0	0	0	0	0	0	0
ACAD8	0	0	0	1	0	0	0	4	0	0	0	1	0	1	15	150	3	116	0	0	0	3	176	82	0	0	29	0	0
ACAD9	791	4	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	101	0	14	0	346	0	875
ACADM	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	401	0	0	0	0	0	0	50	0	1
ACADS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0
ACADSB	0	0	1	1	2	0	1	0	0	0	4	0	26	0	40	0	2	352	1	783	45	5	216	234	0	31	134	8929	4
ACADVL	0	1	0	274	7	2	1	5	7	2	0	2	0	4	2	0	0	22	933	1147	26	2695	214	0	29	9167	1167	1	1
ACAN	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ACAP1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ACAP2	0	0	0	0	7	0	7	3	1	0	0	1	0	0	3910	2	0	0	1	1036	16	3	34	1	0	5	319	0	0
ACAP3	6	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	369	0	67	330	7	0	0	0	5597	1112	2	2
ACAT1	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	2	0	0	317	0	0	760	0	0	3	212	3	0
ACAT2	0	0	0	11	2	2	1	0	0	0	1	1	36	8	48	120	10	2837	78	487	1658	2189	105	1142	218	4048	801	5	768
ACBD3	0	2	0	1	2	0	1	0	4	0	0	0	0	0	0	0	0	0	0	2	1293	207	146	1	2	0	121	0	0
ACBD4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357	0	0	0	6	0	1	0	0	0	0
ACBD5	0	0	0	0	39	0	0	2	2	0	0	0	0	23	1	1	0	0	0	0	0	0	4	0	0	1	3	48	0
ACBD6	68	0	0	4	8	0	3	0	2	0	0	0	1	1	0	0	1	1	216	1357	1	1570	112	1190	591	3867	16	2	0
ACBD7	0	0	0	0	0	0	0	0	0	0	0	0	0	34	36	0	0	0	0	0	0	1	0	0	0	1	1	0	3
ACCS	0	0	0	1	0	111	0	0	2	1	1	44	5176	0	5497	660	31	0	1	1	1399	2	0	1	0	0	0	1	1
ACD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	910	12	0	0	14	320	0	0	113	0	0
ACE	0	0	0	1	1	2	1	6	0	0	3	2	0	0	0	0	1	0	0	0	3	0	0	0	0	7	1054	6	2
ACER1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ACER3	0	2	7	453	0	0	1	0	3	4	1	245	14515	1	1891	3626	3	27	0	0	0	2402	7	3	54	1	255	0	0
ACHE	0	0	18	57	0	0	1	2	1	1	0	0	0	0	0	0	1	28	0	0	246	155	2	0	0	10	0	0	0
ACIN1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	5	0	26	0	127	2	0
ACLY	0	1	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	3	24	142	6	248	4	60	1	155	5	3
ACN9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	34	0	0	0	0	0	0
ACO1	0	0	0	7	0	0	0	0	0	0	0	0	1	1	1106	0	0	0	0	0	0	0	136	67	0	0	39	4	2
ACO2	2111	126847	4	178	1	0	1	1	6	2	2	3	0	2	0	1	0	137	1869	401	519	755	152	65	24	2	973	95	0
ACOT1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	76	0	36	0	0	0	107	4	0	32	0	65
ACOT11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACOT13	18	0	0	15	1	0	0	0	0	0	1	0	0	0	3056	93	1	1	0	719	56	0	133	32	819	4	805	1	0
ACOT2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	132	0	55	0	9	0	257	4	0	3	0	65
ACOT4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	173	0	0	0	0	0	0
ACOT6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0
ACOT7	7	0	1	0	3	0	0	0	0	1	1	0	0	0	0	0	1	232	0	722	1238	288	29	1	212	1	1121	0	0
ACOT8	0	0	0	55	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	49	63	3	11	8	0	0	99	0	0
ACOT9	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	532	87	453	66	0	30	1	63
ACOX1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	27	3	0	0	3	156	52	118	2	0	0	0	0	49
ACOX2	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	29	0	1	547	0	1
ACOX3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	182	0	0	5469	709	0	0
ACOXL	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ACP1	28	4	1365	615	9	0	3	2	4	3	4	5	0	316	2455	1694	6	948	654	1011	32	301	1006	19	538	35	527	0	1717
ACP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	1	0	0	0	0	0	0	228	0	0
ACP5	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
ACP6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	8	0	0	0	75	0	0
ACPL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	2	34	11	0	0	0	0	0
ACPP	0	0	0	0	1	1	10	7	0	0	0	0	5	1	1	0	0	1	0	1	2	0	0	0	1	1	1	4	1
ACR	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACRBP	2	4	14	42	10	42139	21	16	88	10	1375	29017	103785	58985	48793	28931	1	5	132	5	4	164	18	2	87	1	46	0	1
ACRC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	145	2	1	0	0	0	0	1
ACRV1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSBG1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSF2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	814	0	0	0	0	267
ACSF3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	2	0	52	2	0	0	151	0	0
ACSL1	0	0	12	11	1	1	0	0	2	2	0	0	0	0	0	0	2	0	0	186	0	13	347	0	0	0	41	0	0
ACSL3	0	2	0	0	3	0	3	0	2	1	0	0	0	9	1	0	6	2007	0	1394	681	0	533	501	893	136	479	2	0
ACSL4	2	1	2	0	0	0	0	0	0	3	3	5	0	0	0	3527	0	0	0	0	0	1	122	0	0	0	0	0	0
ACSL5	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	1	0	0	0	1	1
ACSL6	1	0	0	0	0	2	0	6	0	0	1	3	1	0	0	0	2	24	0	0	0	1	1	0	0	0	0	0	1
ACSM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	690	0	0	0	0	0
ACSM2A	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ACSM3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	130	9	13	0	0	0	0	7	2	8	418	1	1	0
ACSM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ACSS1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	440	0	3	1	654	345	0	1	361	0	0	3	1523	6	173
ACSS2	0	0	17	0	2	0	0	0	0	0	0	13	36	1	5	2115	1	238	0	179	0	0	0	51	0	7	1852	14513	10
ACSS3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	17	0	7	0	0
ACTA1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	626	0	0	0	0	1	0	0	0	0
ACTA2	0	0	20	2	0	0	0	0	0	1	1	1	3	0	0	0	0	0	6156	0	2	0	0	0	0	0	0	7	1
ACTB	8522	89	7143	2701	73295	16	36	20	52	396	20	18	7702	32	3049	7039	39	5095	6538	5949	3699	1794	6833	24275	11591	2392	9566	10818	5599
ACTC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACTG1	12910	128218	3383	4154	124	64	116	52	44	24	16	14	24823	13002	7728	1213	150	10912	37409	30204	19920	25520	15616	79409	69265	59994	49257	119613	20054
ACTG1P4	2	3	0	0	0	0	2	0	21	0	0	0	1	1008	1	0	0	0	0	0	0	1	0	0	0	3	0	0	2
ACTG2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1546	0	0	0	0	0	0	1	0	0
ACTL10	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL6A	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	2	1	319	1011	4	0	194	706	710	33	0	315	6	0
ACTL6B	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN1	0	1	0	2	1	1	2	2	1	2	3	6165	244	387	2217	1816	26	0	986	92	12	32	205	456	305	2111	66	0	0
ACTN2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ACTN4	6	0	0	14	0	1031	0	0	0	0	1	1	28	0	57	3	0	150	586	267	254	259	68	344	375	1148	1088	472	197
ACTR10	2	0	5	176	6	0	1	1	4	3	1	0	0	1	1	7	4	3	0	1453	94	182	630	538	0	0	332	3	187
ACTR1A	0	0	0	238	7	1	1	0	1	0	0	0	1090	0	5	59	0	118	1078	1098	2398	27	388	33	2	350	1299	21	8346
ACTR1B	0	4	0	7	2	0	0	0	0	0	0	0	1	0	0	0	1	446	0	134	11	845	123	7	711	2	432	0	0
ACTR2	0	2	72	15	0	0	1	0	0	0	0	1414	3	0	337	2	2	14	992	37	27	35	187	47	194	0	7	1	0
ACTR3	9	2	24	1057	9	1	6	2	1	0	1	0	3362	0	1	1800	5	217	173	1809	0	941	1126	2501	1683	1076	1096	14	2995
ACTR3B	0	1	0	5	0	0	2	2	1	1	4	6	5744	0	1702	4274	0	0	0	0	0	0	60	0	0	1	36	0	0
ACTR5	1	0	0	3	0	0	0	0	0	0	0	0	39	0	0	0	2	0	0	4	0	0	0	0	0	0	8	0	0
ACTR6	0	0	0	249	2	1	6	1	1	0	1	0	5	0	0	0	0	1	0	2	533	0	316	0	0	1	26	13	3
ACTR8	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ACVR1	0	0	0	0	0	0	0	0	0	1	0	0	0	8	1	434	0	0	0	0	0	0	24	0	0	0	68	0	0
ACVR1B	12	1	1	234	0	0	2	2	0	1	4	0	14643	0	41	4	6	9	697	86	0	1	0	791	0	5251	218	1	0
ACVR1C	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACVR2A	0	0	0	0	0	0	0	1	0	0	0	0	12	0	9	716	0	0	0	84	1	0	0	0	0	0	50	0	0
ACVR2B	0	0	0	0	1	0	0	1	0	0	0	0	0	0	112	0	0	0	0	0	0	0	32	0	0	0	0	0	0
ACY1	0	0	0	848	0	0	0	0	0	0	0	0	0	3	0	0	0	905	14	23	130	0	0	465	10	1	1406	0	0
ACYP1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	736	1	13	0	0	0	0	4	0	1	0	0
ACYP2	1	0	1	0	0	1	0	0	25	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	70	0	85
ADA	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	41	0	1	52	6	3
ADAM10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2484	0	0	0	259	0	64	0	0	1	0	0	0	0
ADAM15	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	59	34	3	0	0	2	11	0	0
ADAM17	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	148	44	0	68	0	0	0	0
ADAM19	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	230
ADAM23	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM32	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
