gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ER_target_lenient	ER_target_stringent	ER_early	ER_late	ER_target_ChIP
PLXND1	7383.720744	0.083498446	0.029316219	2.848199686	0.0044	0.0157	no	no	FALSE	FALSE	FALSE
AK2	2637.801185	0.275881459	0.048832429	5.64955433	1.60864e-8	1.75362e-7	up	no	FALSE	FALSE	FALSE
FKBP4	14737.54656	0.283932681	0.023328972	12.17081847	4.44602e-34	2.90358e-32	up	no	TRUE	TRUE	TRUE
KDM1A	2804.233002	0.253047364	0.042404499	5.967465034	2.41e-9	2.92e-8	up	no	FALSE	FALSE	FALSE
RBM6	1164.230564	-0.045274358	0.060928299	-0.743076026	0.457435653	0.62255151500000006	no	no	FALSE	FALSE	TRUE
CAMKK1	255.8614808	0.182979425	0.112331954	1.628916969	0.103330597	0.213112808	no	no	FALSE	FALSE	TRUE
RECQL	1049.569122	-0.043026205	0.060310468	-0.713411889	0.476	0.639	no	no	FALSE	FALSE	FALSE
CCDC132	677.7796804	0.026740676	0.072532834	0.36866995	0.712	0.827	no	no	FALSE	FALSE	FALSE
ARHGAP33	159.45655	0.033963713	0.127079945	0.267262574	0.789	0.87897327	no	no	FALSE	FALSE	FALSE
NDUFAB1	3529.076014	0.12379547	0.038458313	3.218952134	0.0012866	0.005428962	no	no	FALSE	FALSE	FALSE
PDK4	40.91115244	-0.199611889	0.15439484	-1.29286632	0.196	0.345	no	no	FALSE	FALSE	FALSE
ARX	60.66480419	0.035717746	0.151106678	0.236374373	0.81314218	0.893885045	no	no	FALSE	FALSE	FALSE
SLC25A13	1921.239038	0.087712549	0.047341922	1.852745822	0.063918799	0.146325667	no	no	FALSE	FALSE	FALSE
ST7	442.9688201	0.364943254	0.090831205	4.017818039	5.87e-5	3.45e-4	up	no	FALSE	FALSE	FALSE
CDC27	1876.627242	-0.046878944	0.047498209	-0.986962362	0.32366109	0.492672184	no	no	FALSE	FALSE	FALSE
CALCR	60.47613388	0.41883663	0.132451459	3.162189634	0.001565876	0.006447611	up	no	TRUE	TRUE	FALSE
HCCS	848.6892817	0.022854838	0.070857962	0.322544384	0.747040319	0.848643734	no	no	FALSE	FALSE	FALSE
DVL2	793.0628735	0.018568187	0.072325235	0.256731792	0.797	0.883871322	no	no	FALSE	FALSE	FALSE
PRSS22	941.6033863	-0.196315787	0.065690123	-2.98851301	0.0028	0.0107	down	no	FALSE	FALSE	TRUE
UPF1	7708.453281	-0.014502589	0.03265419	-0.444126429	0.657	0.786	no	no	FALSE	FALSE	FALSE
SKAP2	578.0476215	-0.315369724	0.079115013	-3.986218427	6.71e-5	3.89e-4	down	no	FALSE	FALSE	FALSE
SLC25A5	26870.07889	0.043206926	0.021266171	2.031721	0.042181909	0.104825246	no	no	FALSE	FALSE	FALSE
CCDC109B	711.4138346	-0.163997844	0.075972495	-2.15864761	0.0309	0.0816	no	no	FALSE	FALSE	FALSE
POLR2J	1964.035956	-0.072740052	0.047813549	-1.521327209	0.128177745	0.25212304	no	no	FALSE	FALSE	FALSE
DHX33	1178.78381	0.275488129	0.057834363	4.763398718	1.90359e-6	1.5005e-5	up	no	FALSE	FALSE	TRUE
LIG3	960.2374452	0.218255054	0.06321095	3.452804518	5.54791e-4	0.002578817	up	no	FALSE	FALSE	FALSE
RPAP3	1319.834535	-0.022936062	0.053428556	-0.4292847	0.668	0.795	no	no	FALSE	FALSE	FALSE
ACSM3	97.34818756	0.058699557	0.141695735	0.414264811	0.679	0.802	no	no	FALSE	FALSE	FALSE
AC004381.6	106.78085	0.333452067	0.142932444	2.332934765	0.0197	0.0561	no	no	FALSE	FALSE	FALSE
CIAPIN1	1693.726778	0.168991877	0.049043004	3.445789702	5.69393e-4	0.002639678	up	no	FALSE	FALSE	FALSE
SPPL2B	1156.934095	0.154628551	0.059319508	2.606706582	0.009141766	0.029319965	up	no	FALSE	FALSE	FALSE
FAM214B	449.6669104	-0.508803991	0.087112078	-5.840797332	5.2e-9	5.98e-8	down	no	FALSE	FALSE	FALSE
COPZ2	36.06829969	0.163548742	0.153955599	1.062311105	0.288094475	0.453420476	no	no	FALSE	FALSE	FALSE
PRKAR2B	1820.375684	-0.277379871	0.048116203	-5.764791405	8.18e-9	9.21e-8	down	no	FALSE	TRUE	FALSE
MSL3	787.418425	-0.039568512	0.068715072	-0.575834546	0.564727021	0.715304145	no	no	FALSE	FALSE	FALSE
CREBBP	6612.391229	-0.091394301	0.031734412	-2.879974588	0.00398	0.0144	no	no	FALSE	FALSE	FALSE
GCFC2	454.2945961	0.094657919	0.08370736	1.130819546	0.258131051	0.420017046	no	no	FALSE	FALSE	FALSE
WDR54	769.5032207	-0.012718315	0.075995092	-0.167357063	0.867	0.925	no	no	FALSE	FALSE	FALSE
CROT	2293.798461	0.084591392	0.045614094	1.854501173	0.063667492	0.145963622	no	no	FALSE	FALSE	FALSE
KMT2E	2659.506019	0.059786891	0.043313924	1.380315742	0.16748945	0.3074455	no	no	FALSE	FALSE	FALSE
RHBDD2	4333.771465	-0.135962123	0.0421858	-3.222935735	0.00127	0.00536994	no	no	FALSE	FALSE	FALSE
IBTK	2368.427222	0.095030342	0.048213537	1.971030302	0.04872041	0.117844457	no	no	FALSE	FALSE	FALSE
ZNF195	703.4054188	0.167134989	0.079623143	2.099075509	0.035810245	0.092060393	no	no	FALSE	FALSE	FALSE
MYCBP2	1908.997057	0.023021229	0.054351973	0.423558298	0.672	0.797	no	no	FALSE	FALSE	FALSE
FBXL3	1305.942795	-0.164239819	0.060045467	-2.735257589	0.006233148	0.021058691	down	no	FALSE	FALSE	TRUE
PDK2	497.2872932	0.060472969	0.085493779	0.707337654	0.479	0.642	no	no	FALSE	FALSE	FALSE
ITGA3	12492.74555	-0.335111048	0.028908166	-11.59226256	4.51e-31	2.61e-29	down	no	FALSE	FALSE	FALSE
ZFX	1088.738399	-0.059936898	0.064785269	-0.925162444	0.354881416	0.526296533	no	no	FALSE	FALSE	FALSE
LAMP2	7465.823558	-0.047052253	0.028226863	-1.666931736	0.0955	0.2	no	no	FALSE	FALSE	FALSE
GGNBP2	1700.189832	-0.059588086	0.048642854	-1.225012128	0.220570651	0.376349995	no	no	FALSE	FALSE	FALSE
GDE1	4123.807471	0.042129135	0.036384608	1.157883425	0.247	0.407	no	no	FALSE	FALSE	TRUE
C19orf60	716.6577392	0.113986117	0.071865043	1.586113539	0.113	0.228721645	no	no	FALSE	FALSE	FALSE
CRLF1	482.0041307	-0.091345038	0.084531613	-1.080602094	0.28	0.445	no	no	FALSE	FALSE	FALSE
OSBPL7	670.1292034	0.093939043	0.076932034	1.221065374	0.222	0.378	no	no	FALSE	FALSE	FALSE
YBX2	250.1296844	-0.081009875	0.105975146	-0.764423344	0.444615002	0.611061278	no	no	FALSE	FALSE	FALSE
MAP3K14	3574.159552	-0.750837276	0.042299688	-17.75042102	1.71e-70	3.58e-68	down	down	FALSE	FALSE	FALSE
ABCC8	141.6414514	-0.226281247	0.132496596	-1.707826872	0.087668471	0.187830854	no	no	FALSE	FALSE	FALSE
SYNRG	1208.408085	-0.104596799	0.065219528	-1.603765045	0.108765852	0.222549502	no	no	FALSE	FALSE	FALSE
TMEM132A	14803.56229	-0.191465254	0.029938805	-6.395220205	1.6e-10	2.28e-9	down	no	FALSE	FALSE	FALSE
AP2B1	8892.395375	0.015911762	0.026120817	0.609160182	0.542	0.696	no	no	FALSE	FALSE	FALSE
ZNF263	1609.072983	-0.031021358	0.05133301	-0.604315984	0.546	0.699	no	no	FALSE	FALSE	FALSE
SPATA20	3158.288843	-0.044929051	0.039427551	-1.139534412	0.254	0.416	no	no	FALSE	FALSE	FALSE
TNFRSF12A	8749.231733	-0.38666134	0.033752193	-11.45588789	2.2e-30	1.24e-28	down	no	FALSE	FALSE	TRUE
MAP3K9	3297.999277	-0.268323449	0.039662052	-6.765243748	1.33e-11	2.11e-10	down	no	FALSE	FALSE	FALSE
RALA	1181.945215	-0.125544943	0.056740817	-2.212603741	0.026924977	0.072835055	no	no	FALSE	FALSE	FALSE
BAIAP2L1	2529.248292	-0.391053074	0.049666355	-7.873601274	3.44576e-15	7.72555e-14	down	no	FALSE	FALSE	TRUE
JHDM1D	821.6362917	-0.217679007	0.067199265	-3.239306375	0.001198208	0.005102867	down	no	FALSE	FALSE	FALSE
AGK	822.5610897	0.15677438	0.067004255	2.339767544	0.0193	0.0553	no	no	FALSE	FALSE	FALSE
ALDH3B1	317.7873997	-0.204196959	0.099132455	-2.059839626	0.039413875	0.099474444	no	no	TRUE	TRUE	FALSE
PHTF2	2327.038983	-0.166695936	0.042990765	-3.877482398	1.05543e-4	5.86037e-4	down	no	FALSE	FALSE	FALSE
FARP2	2199.824145	-0.02331	0.045056652	-0.517348684	0.604912775	0.747322386	no	no	FALSE	FALSE	FALSE
GGCT	2905.211668	0.251744722	0.04360884	5.772791105	7.8e-9	8.8e-8	up	no	FALSE	FALSE	FALSE
DBF4	798.1228475	0.331369107	0.070998977	4.667237786	3.05e-6	2.32e-5	up	no	FALSE	FALSE	FALSE
IFRD1	1656.119085	0.037055944	0.051918727	0.713729816	0.475	0.639	no	no	FALSE	FALSE	TRUE
COX10	651.5215213	0.239232084	0.073635115	3.24888588	0.001158579	0.004957829	up	no	FALSE	FALSE	FALSE
GTF2IRD1	1918.60155	-0.455529589	0.046496016	-9.797174565	1.15779e-22	4.25929e-21	down	no	FALSE	FALSE	TRUE
PAF1	2558.974003	-0.037005188	0.040993428	-0.902710243	0.367	0.539	no	no	FALSE	FALSE	FALSE
VPS41	1041.17274	-0.09171559	0.059583211	-1.539285777	0.123734545	0.245219761	no	no	FALSE	FALSE	FALSE
ARHGAP44	709.1700218	-0.107282779	0.073204617	-1.46551929	0.143	0.273	no	no	FALSE	FALSE	FALSE
ELAC2	3345.652472	0.212368374	0.037077055	5.727757338	1.01767e-8	1.12927e-7	up	no	FALSE	FALSE	FALSE
SCIN	3550.236708	0.409876823	0.036847595	11.1235707	9.63e-29	5.04e-27	up	no	FALSE	FALSE	FALSE
ARSD	2412.99655	-0.172967296	0.045391223	-3.810589027	1.38636e-4	7.4934e-4	down	no	FALSE	FALSE	FALSE
ADIPOR2	11082.53156	0.081332652	0.024553426	3.312476675	9.25e-4	0.00407	no	no	FALSE	FALSE	FALSE
MARK4	1288.024583	-0.25276127	0.058659443	-4.308961306	1.64023e-5	1.08061e-4	down	no	FALSE	FALSE	FALSE
CCDC124	2060.393808	0.056602812	0.044588541	1.269447506	0.204281502	0.355639088	no	no	FALSE	FALSE	FALSE
PAFAH1B1	3379.825263	-0.142066338	0.037669947	-3.771344286	1.6237e-4	8.63881e-4	no	no	FALSE	FALSE	FALSE
KIAA0100	12886.26659	0.109593324	0.025497055	4.298273832	1.72133e-5	1.12726e-4	no	no	FALSE	FALSE	FALSE
TRAPPC6A	762.4890571	-0.025350904	0.075275148	-0.336776542	0.736	0.841	no	no	FALSE	FALSE	FALSE
MATK	543.6165591	0.672347799	0.081368186	8.263030414	1.42e-16	3.58e-15	up	up	FALSE	FALSE	TRUE
ST7L	266.2008223	-0.065341089	0.106024003	-0.616285816	0.537705899	0.692251021	no	no	FALSE	FALSE	FALSE
RPUSD1	1997.5172909999999	0.170791092	0.053730572	3.178657609	0.001479588	0.006141367	up	no	FALSE	FALSE	FALSE
RHBDF1	4157.925443	-0.313359885	0.041370694	-7.574441108	3.61e-14	7.36e-13	down	no	FALSE	FALSE	TRUE
LUC7L	2608.508108	-0.060988631	0.045347643	-1.344912924	0.179	0.322	no	no	FALSE	FALSE	TRUE
CACNA2D2	33.72993227	-0.031780259	0.154248334	-0.206033079	0.836765073	0.907520708	no	no	FALSE	TRUE	FALSE
BAIAP3	1232.048302	-0.186748463	0.05897123	-3.166772411	0.00154	0.00636	down	no	FALSE	FALSE	FALSE
TSR3	2301.996796	0.109368444	0.042951457	2.546326766	0.0109	0.0341	no	no	FALSE	FALSE	TRUE
PIGQ	1317.900285	0.005573432	0.056329104	0.098944098	0.921182656	0.95680145	no	no	FALSE	FALSE	FALSE
CRAMP1L	1107.751502	0.037291067	0.06336907	0.588474269	0.556214	0.708365571	no	no	FALSE	FALSE	FALSE
TEAD3	1386.980196	-0.337268835	0.054945629	-6.138228717	8.34467e-10	1.07905e-8	down	no	FALSE	FALSE	FALSE
DNAJC11	2007.729829	0.188116535	0.051090128	3.682052502	2.31364e-4	0.001178928	up	no	FALSE	FALSE	FALSE
MYLIP	687.7483589	0.03845023	0.073734294	0.521470106	0.602	0.745	no	no	FALSE	FALSE	TRUE
E2F2	110.3984845	0.753695066	0.138724537	5.433033578	5.54e-8	5.65e-7	up	up	FALSE	FALSE	FALSE
PSMB1	6572.43993	-0.022987731	0.032219498	-0.713472651	0.476	0.639	no	no	FALSE	FALSE	FALSE
SYN1	71.50907821	-0.285596313	0.154150588	-1.852709852	0.0639	0.146	no	no	FALSE	FALSE	TRUE
JARID2	2231.22334	0.283229506	0.044555086	6.356838992	2.06e-10	2.9e-9	up	no	FALSE	FALSE	FALSE
CDKL5	421.0087442	-0.278674873	0.09347386	-2.981313412	0.002870149	0.010876313	down	no	FALSE	FALSE	FALSE
NADK	2105.316344	0.032090429	0.043984335	0.729587674	0.465642259	0.630465891	no	no	FALSE	FALSE	FALSE
DLEC1	373.3094605	-0.064142915	0.090815293	-0.706300806	0.480001092	0.642332508	no	no	FALSE	FALSE	FALSE
CYTH3	659.055548	-0.123570896	0.077045882	-1.603861144	0.108744663	0.22253813	no	no	FALSE	FALSE	TRUE
ADAM22	410.538898	-0.095865527	0.09056005	-1.058585178	0.28978874	0.455176776	no	no	FALSE	FALSE	FALSE
SYPL1	5129.33923	0.01268692	0.039499114	0.321195059	0.748	0.849	no	no	FALSE	FALSE	FALSE
CYB561	9594.742907	-0.053240781	0.025186952	-2.113823926	0.0345	0.0893	no	no	FALSE	FALSE	TRUE
SPAG9	6643.703218	-0.324421748	0.030991956	-10.46793384	1.21e-25	5.38e-24	down	no	FALSE	FALSE	FALSE
CELSR3	1716.921758	-0.052200322	0.048463575	-1.077104228	0.281	0.447	no	no	FALSE	FALSE	FALSE
AASS	1172.140325	-0.195502499	0.056757255	-3.444537589	5.72e-4	0.00265	down	no	FALSE	FALSE	FALSE
PLEKHG6	265.2821791	-0.26335786	0.104664152	-2.516218362	0.0119	0.036634717	down	no	FALSE	FALSE	FALSE
SS18L2	249.3604878	0.116361992	0.124263377	0.936414208	0.349059966	0.519829156	no	no	FALSE	FALSE	FALSE
MPND	545.4246868	0.004967131	0.078491743	0.063282211	0.949541781	0.972493082	no	no	FALSE	FALSE	FALSE
MGST1	2767.772223	0.103026027	0.039632145	2.599557172	0.00933	0.0299	no	no	FALSE	FALSE	FALSE
CRY1	1424.458252	-0.135826784	0.053423362	-2.542460423	0.011	0.0344	no	no	FALSE	FALSE	FALSE
NFIX	1027.846837	-0.037752949	0.061916983	-0.609734966	0.542	0.696	no	no	FALSE	FALSE	FALSE
ST3GAL1	8078.138573	-0.334031301	0.036027397	-9.27159124	1.83e-20	5.93e-19	down	no	FALSE	FALSE	FALSE
MMP25	126.1028619	-0.214655742	0.134246016	-1.598972908	0.109826622	0.224171907	no	no	FALSE	FALSE	FALSE
IL32	462.2812462	-0.548847654	0.09009832	-6.091652501	1.12e-9	1.42e-8	down	no	FALSE	FALSE	FALSE
PKD1	5234.426449	-0.034405014	0.039045236	-0.881157796	0.378	0.55	no	no	FALSE	FALSE	FALSE
MAPK8IP2	222.3730119	-0.380511469	0.113411528	-3.355139247	7.93e-4	0.00354	down	no	FALSE	FALSE	FALSE
MED24	1439.171456	0.046820426	0.054225452	0.863440027	0.38789558	0.558784718	no	no	TRUE	FALSE	FALSE
RHOBTB2	2137.726306	-0.357866222	0.053302509	-6.71387201	1.9e-11	2.94e-10	down	no	FALSE	FALSE	TRUE
HEATR5B	1438.041103	-0.058653632	0.052872529	-1.109340394	0.267283365	0.430319267	no	no	FALSE	FALSE	FALSE
SEC62	5608.570612	-0.040698171	0.033363812	-1.219829758	0.223	0.379	no	no	FALSE	FALSE	FALSE
RPS20	20007.66579	-0.014731567	0.026066367	-0.565156121	0.572	0.721	no	no	FALSE	FALSE	TRUE
CSDE1	87271.70977	0.014336684	0.020114705	0.712746401	0.476002698	0.639144621	no	no	FALSE	FALSE	TRUE
UBE3C	6749.961454	-0.006008498	0.031486709	-0.190826472	0.848661548	0.913948144	no	no	FALSE	FALSE	FALSE
REV3L	1945.798117	0.207215058	0.048861159	4.240895276	2.2263e-5	1.42774e-4	up	no	FALSE	FALSE	FALSE
FAM76A	152.3362208	0.173100621	0.124395147	1.391538382	0.164062229	0.302951227	no	no	FALSE	FALSE	FALSE
TRAF3IP3	45.43203094	0.364431225	0.154479265	2.359094763	0.018319577	0.05293603	no	no	FALSE	FALSE	FALSE
POMT2	2374.180522	-0.019552739	0.0433709	-0.450826213	0.652114807	0.783076797	no	no	FALSE	FALSE	TRUE
VTA1	2333.617629	0.038711098	0.04307246	0.898743604	0.368789245	0.54083771	no	no	FALSE	FALSE	FALSE
MLXIPL	147.4628857	0.228800596	0.128933634	1.774560982	0.075970405	0.167748081	no	no	FALSE	FALSE	TRUE
BAZ1B	6272.321465	0.084609169	0.030100705	2.81087005	0.00494	0.0173	no	no	FALSE	FALSE	FALSE
RANBP9	1872.436842	-0.134015482	0.047849275	-2.800783963	0.005097863	0.017753983	no	no	FALSE	FALSE	TRUE
SPRTN	689.5294607	-0.158781626	0.073636711	-2.156283501	0.031061535	0.081978776	no	no	FALSE	FALSE	FALSE
METTL13	3281.388045	0.140571858	0.03855147	3.646342338	2.66e-4	0.001333933	up	no	FALSE	FALSE	FALSE
ZNF207	3959.65965	0.070162873	0.036941566	1.899293425	0.057525907	0.134681193	no	no	FALSE	FALSE	FALSE
UQCRC1	3269.707571	-0.064204324	0.038618492	-1.662528002	0.096406954	0.20184497	no	no	FALSE	FALSE	FALSE
STARD3NL	297.1045062	0.04875271	0.100415771	0.4855085	0.627	0.764	no	no	FALSE	FALSE	FALSE
CD9	12888.35773	-0.09241418	0.02535182	-3.645268025	2.67e-4	0.00134	no	no	FALSE	TRUE	TRUE
NCAPD2	1861.195869	0.044020853	0.055325229	0.79567412	0.426	0.595	no	no	FALSE	FALSE	FALSE
NISCH	1732.554278	-0.133074225	0.048594337	-2.738471886	0.00617	0.0209	no	no	FALSE	FALSE	FALSE
STAB1	152.8123189	0.027735612	0.125110176	0.221689497	0.824555607	0.901175529	no	no	FALSE	FALSE	FALSE
FUZ	264.1587958	-0.111722921	0.108522336	-1.029492408	0.303248345	0.469940861	no	no	FALSE	FALSE	FALSE
IDS	10021.45084	-0.354873073	0.030790391	-11.5254489	9.82e-31	5.59e-29	down	no	FALSE	FALSE	FALSE
ZNF200	292.3532523	0.119315185	0.100334297	1.189176469	0.234370232	0.392002936	no	no	FALSE	FALSE	FALSE
LRRC23	87.0076054	0.088353839	0.146317564	0.603849846	0.545943476	0.699233621	no	no	FALSE	FALSE	FALSE
SCMH1	321.6478118	-0.191410587	0.098943566	-1.934543045	0.053	0.126	no	no	FALSE	FALSE	FALSE
FYN	954.2612	-0.124297525	0.074927599	-1.658901743	0.0971	0.203	no	no	FALSE	FALSE	FALSE
HIVEP2	1152.014072	-0.132679528	0.056473735	-2.349402394	0.0188	0.0541	no	no	FALSE	FALSE	TRUE
TCEB3	2248.570492	0.053403722	0.042781447	1.248291628	0.211924279	0.365495573	no	no	FALSE	FALSE	FALSE
LYPLA2	2300.843418	-0.106370377	0.043115985	-2.467075189	0.0136	0.0413	no	no	FALSE	FALSE	FALSE
CLCN6	327.2588051	-0.080729357	0.098014225	-0.823649392	0.410138803	0.58017637	no	no	FALSE	FALSE	FALSE
MRC2	9379.83102	-0.327331225	0.027126877	-12.06667574	1.58405e-33	1.02046e-31	down	no	FALSE	FALSE	FALSE
TSPAN9	1131.606666	-0.296292377	0.05998749	-4.939236108	7.84292e-7	6.62276e-6	down	no	FALSE	FALSE	FALSE
BTBD7	3410.009583	-0.151836356	0.0367436	-4.13232121	3.59e-5	2.21e-4	no	no	FALSE	FALSE	FALSE
APBA3	438.9901302	-0.130856587	0.089103643	-1.46858851	0.142	0.271475403	no	no	FALSE	FALSE	TRUE
MKS1	647.1073627	0.08668968	0.074511086	1.163446732	0.245	0.404	no	no	FALSE	FALSE	FALSE
ABHD5	460.5230951	0.085693037	0.089076878	0.962012121	0.336043515	0.505574504	no	no	FALSE	FALSE	FALSE
KAL1	206.5717249	-0.316161612	0.119388942	-2.648164963	0.00809	0.0264	down	no	FALSE	FALSE	FALSE
AKAP8L	2229.91531	-0.225535781	0.047956867	-4.702888154	2.57e-6	1.98e-5	down	no	FALSE	FALSE	FALSE
MBTD1	1284.122915	0.082600325	0.055338248	1.492644376	0.136	0.263	no	no	FALSE	FALSE	FALSE
UTP18	3181.739731	0.172422825	0.038047241	4.531808933	5.84807e-6	4.21565e-5	up	no	FALSE	FALSE	FALSE
RNF216	2952.814957	0.031369414	0.045076996	0.695907385	0.486	0.648	no	no	FALSE	FALSE	FALSE
TTC19	2451.979796	-0.091225463	0.041112675	-2.218913363	0.0265	0.0719	no	no	FALSE	FALSE	FALSE
PTBP1	12941.56834	2.93101e-4	0.025921414	0.011307277	0.99097829	0.994751316	no	no	FALSE	FALSE	FALSE
DPF1	71.02273279	-0.030252044	0.150312884	-0.201260487	0.840494897	0.909634472	no	no	FALSE	FALSE	TRUE
SYT7	1967.631183	0.051526977	0.046210953	1.115038201	0.264834052	0.427766936	no	no	FALSE	FALSE	FALSE
LARS2	755.8205937	0.188581009	0.072399893	2.604713904	0.0091951	0.029484379	up	no	FALSE	FALSE	TRUE
PIK3C2A	2912.917614	-0.090012417	0.043206792	-2.083293231	0.037224503	0.095009906	no	no	FALSE	FALSE	FALSE
PLAUR	136.3979001	-0.575875099	0.131381659	-4.383222923	1.17e-5	7.92e-5	down	no	FALSE	FALSE	FALSE
ANLN	914.944961	0.009682418	0.067959785	0.142472765	0.887	0.936	no	no	FALSE	FALSE	FALSE
WIZ	3588.332251	0.066890612	0.044411868	1.50614274	0.132030535	0.257777863	no	no	FALSE	FALSE	FALSE
RABGAP1	4074.090588	-0.078438228	0.034537708	-2.271089541	0.023141558	0.064436996	no	no	FALSE	FALSE	FALSE
QPCTL	399.3051447	0.193996747	0.090160999	2.15167032	0.0314	0.082739771	no	no	FALSE	FALSE	FALSE
PPP5C	2413.070645	0.011724359	0.041839866	0.28021981	0.779308869	0.872524407	no	no	FALSE	FALSE	FALSE
CEP68	839.9264268	0.29071313	0.067190652	4.326690118	1.51367e-5	1.0028e-4	up	no	FALSE	FALSE	FALSE
MAP4K3	2727.957442	0.155476834	0.040078859	3.879272933	1.05e-4	5.82e-4	up	no	FALSE	FALSE	TRUE
TMEM159	1280.56176	-0.100779914	0.056279774	-1.790695078	0.0733	0.163	no	no	FALSE	FALSE	FALSE
BRCA1	389.6031916	0.560580308	0.092600882	6.05372539	1.42e-9	1.78e-8	up	no	FALSE	FALSE	FALSE
ERCC1	2694.332893	-0.128505844	0.040381704	-3.182278888	0.00146	0.00607	no	no	FALSE	FALSE	TRUE
SEMA3B	948.4749591	1.616503868	0.065888762	24.53383265	6.4356e-133	3.8177e-130	up	up	TRUE	TRUE	TRUE
MBTPS2	905.1168391	0.170790499	0.06543007	2.610275347	0.009046937	0.029074773	up	no	FALSE	FALSE	FALSE
