table	signature	gene
S4_cell_type_nuclei	LumSec	GABRP
S4_cell_type_nuclei	LumSec	ELF5
S4_cell_type_nuclei	LumSec	CCL28
S4_cell_type_nuclei	LumSec	KRT15
S4_cell_type_nuclei	LumSec	KIT
S4_cell_type_nuclei	LumSec	BARX2
S4_cell_type_nuclei	LumSec	EHF
S4_cell_type_nuclei	LumSec	LINC01152
S4_cell_type_nuclei	LumSec	HS3ST4
S4_cell_type_nuclei	LumSec	NEBL
S4_cell_type_nuclei	LumSec	SLC12A2
S4_cell_type_nuclei	LumSec	TFCP2L1
S4_cell_type_nuclei	LumSec	SORBS2
S4_cell_type_nuclei	LumSec	SHANK2
S4_cell_type_nuclei	LumSec	PDE4B
S4_cell_type_nuclei	LumSec	AC078923.1
S4_cell_type_nuclei	LumSec	DTNB
S4_cell_type_nuclei	LumSec	CX3CL1
S4_cell_type_nuclei	Lymphatic	AL357507.1
S4_cell_type_nuclei	Lymphatic	PKHD1L1
S4_cell_type_nuclei	Lymphatic	KLHL4
S4_cell_type_nuclei	Lymphatic	LINC02147
S4_cell_type_nuclei	Lymphatic	RHOJ
S4_cell_type_nuclei	Lymphatic	ST6GALNAC3
S4_cell_type_nuclei	Lymphatic	MMRN1
S4_cell_type_nuclei	Lymphatic	GPM6A
S4_cell_type_nuclei	Lymphatic	STOX2
S4_cell_type_nuclei	Lymphatic	AKAP12
S4_cell_type_nuclei	Lymphatic	NRG3
S4_cell_type_nuclei	Lymphatic	PDE1A
S4_cell_type_nuclei	Lymphatic	PPFIBP1
S4_cell_type_nuclei	Lymphatic	RELN
S4_cell_type_nuclei	Lymphatic	KALRN
S4_cell_type_nuclei	Lymphatic	HECW2
S4_cell_type_nuclei	Lymphatic	ZDHHC14
S4_cell_type_nuclei	Lymphatic	CNKSR3
S4_cell_type_nuclei	Lymphatic	STK32B
S4_cell_type_nuclei	Lymphatic	AL356277.3
S4_cell_type_nuclei	Mast	NTM
S4_cell_type_nuclei	Mast	IL18R1
S4_cell_type_nuclei	Mast	SYTL3
S4_cell_type_nuclei	Mast	SLC24A3
S4_cell_type_nuclei	Mast	HPGD
S4_cell_type_nuclei	Mast	TPSB2
S4_cell_type_nuclei	Mast	HDC
S4_cell_type_nuclei	Mast	KIAA1549
S4_cell_type_nuclei	Mast	RAB27B
S4_cell_type_nuclei	Mast	TNFAIP3
S4_cell_type_nuclei	Mast	SLC18A2
S4_cell_type_nuclei	Mast	CPA3
S4_cell_type_nuclei	Mast	TNIK
S4_cell_type_nuclei	Mast	CPM
S4_cell_type_nuclei	Mast	CD69
S4_cell_type_nuclei	Mast	SRGN
S4_cell_type_nuclei	Mast	SLC8A3
S4_cell_type_nuclei	Mast	GPAT3
S4_cell_type_nuclei	Mast	RHOH
S4_cell_type_nuclei	Mast	RGS13
S4_cell_type_nuclei	Myeloid	F13A1
S4_cell_type_nuclei	Myeloid	MRC1
S4_cell_type_nuclei	Myeloid	RBPJ
S4_cell_type_nuclei	Myeloid	TBXAS1
S4_cell_type_nuclei	Myeloid	FRMD4B
S4_cell_type_nuclei	Myeloid	CD163
S4_cell_type_nuclei	Myeloid	RAB31
S4_cell_type_nuclei	Myeloid	SLC8A1
S4_cell_type_nuclei	Myeloid	MS4A6A
S4_cell_type_nuclei	Myeloid	MERTK
S4_cell_type_nuclei	Myeloid	SLCO2B1
S4_cell_type_nuclei	Myeloid	LGMN
S4_cell_type_nuclei	Myeloid	COLEC12
S4_cell_type_nuclei	Myeloid	FMN1
S4_cell_type_nuclei	Myeloid	SLC1A3
S4_cell_type_nuclei	Myeloid	PDK4
S4_cell_type_nuclei	Myeloid	HDAC9
S4_cell_type_nuclei	Myeloid	SLC9A9
S4_cell_type_nuclei	Myeloid	P2RY14
S4_cell_type_nuclei	Myeloid	LYVE1
S4_cell_type_nuclei	Perivascular	RGS6
S4_cell_type_nuclei	Perivascular	KCNAB1
S4_cell_type_nuclei	Perivascular	COL25A1
S4_cell_type_nuclei	Perivascular	ADGRL3
S4_cell_type_nuclei	Perivascular	PRKG1
S4_cell_type_nuclei	Perivascular	NR2F2-AS1
S4_cell_type_nuclei	Perivascular	AC012409.2
S4_cell_type_nuclei	Perivascular	IGFBP7
S4_cell_type_nuclei	Perivascular	ITGA8
S4_cell_type_nuclei	Perivascular	TEX41
S4_cell_type_nuclei	Perivascular	EBF2
S4_cell_type_nuclei	Perivascular	GUCY1A2
S4_cell_type_nuclei	Perivascular	PDE3A
S4_cell_type_nuclei	Perivascular	RCAN2
S4_cell_type_nuclei	Perivascular	FHL5
S4_cell_type_nuclei	Perivascular	DLC1
S4_cell_type_nuclei	Perivascular	RYR2
S4_cell_type_nuclei	Perivascular	STEAP4
S4_cell_type_nuclei	Perivascular	PDGFRB
S4_cell_type_nuclei	Perivascular	CHSY3
S4_cell_type_nuclei	Tcell	SKAP1
S4_cell_type_nuclei	Tcell	ARHGAP15
S4_cell_type_nuclei	Tcell	PTPRC
S4_cell_type_nuclei	Tcell	THEMIS
S4_cell_type_nuclei	Tcell	IKZF1
S4_cell_type_nuclei	Tcell	PARP8
S4_cell_type_nuclei	Tcell	CD247
S4_cell_type_nuclei	Tcell	STAT4
S4_cell_type_nuclei	Tcell	AC022075.1
S4_cell_type_nuclei	Tcell	CD96
S4_cell_type_nuclei	Tcell	ITK
S4_cell_type_nuclei	Tcell	IL7R
S4_cell_type_nuclei	Tcell	ANKRD44
S4_cell_type_nuclei	Tcell	AOAH
S4_cell_type_nuclei	Tcell	CAMK4
S4_cell_type_nuclei	Tcell	SYTL3
S4_cell_type_nuclei	Tcell	AC010609.1
S4_cell_type_nuclei	Tcell	BCL11B
S4_cell_type_nuclei	Tcell	CARD11
S4_cell_type_nuclei	Tcell	LINC01934
S4_cell_type_nuclei	Vascular	MECOM
S4_cell_type_nuclei	Vascular	BTNL9
S4_cell_type_nuclei	Vascular	MCTP1
S4_cell_type_nuclei	Vascular	PTPRB
S4_cell_type_nuclei	Vascular	VWF
S4_cell_type_nuclei	Vascular	ADGRL4
S4_cell_type_nuclei	Vascular	LDB2
S4_cell_type_nuclei	Vascular	ANO2
S4_cell_type_nuclei	Vascular	EPAS1
S4_cell_type_nuclei	Vascular	CD36
S4_cell_type_nuclei	Vascular	ABLIM3
S4_cell_type_nuclei	Vascular	ENPP2
S4_cell_type_nuclei	Vascular	PTPRM
S4_cell_type_nuclei	Vascular	EMCN
S4_cell_type_nuclei	Vascular	PECAM1
S4_cell_type_nuclei	Vascular	FLT1
S4_cell_type_nuclei	Vascular	PREX2
S4_cell_type_nuclei	Vascular	SPARCL1
S4_cell_type_nuclei	Vascular	ZNF385D
S4_cell_type_nuclei	Vascular	PLCB4
s10_cell_states	Basal	TAGLN
s10_cell_states	Basal	KRT14
s10_cell_states	Basal	ACTA2
s10_cell_states	Basal	TPM2
s10_cell_states	Basal	KRT17
s10_cell_states	Basal	MT2A
s10_cell_states	Basal	DST
s10_cell_states	Basal	MYLK
s10_cell_states	Basal	MT1X
s10_cell_states	Basal	CXCL14
s10_cell_states	Basal	KRT5
s10_cell_states	Basal	APOE
s10_cell_states	Basal	SPARCL1
s10_cell_states	Basal	ACTG2
s10_cell_states	Basal	C2orf40
s10_cell_states	Basal	CALD1
s10_cell_states	Basal	CNN1
s10_cell_states	Basal	MT1E
s10_cell_states	Basal	MYL9
s10_cell_states	Basal	NNMT
s10_cell_states	LumHR-SCGB	SCGB2A2
s10_cell_states	LumHR-SCGB	PIP
s10_cell_states	LumHR-SCGB	SCGB1D2
s10_cell_states	LumHR-SCGB	MUCL1
s10_cell_states	LumHR-SCGB	SCGB3A1
s10_cell_states	LumHR-SCGB	SERPINA1
s10_cell_states	LumHR-SCGB	TFPI2
s10_cell_states	LumHR-SCGB	APOD
s10_cell_states	LumHR-SCGB	CP
s10_cell_states	LumHR-SCGB	KRT23
s10_cell_states	LumHR-SCGB	HMGB3
s10_cell_states	LumHR-SCGB	SAA1
s10_cell_states	LumHR-SCGB	MGP
s10_cell_states	LumHR-SCGB	CA2
s10_cell_states	LumHR-SCGB	TAT
s10_cell_states	LumHR-SCGB	SOD2
s10_cell_states	LumHR-SCGB	CITED1
s10_cell_states	LumHR-SCGB	CYP4X1
s10_cell_states	LumHR-SCGB	TNFSF10
s10_cell_states	LumHR-SCGB	CCL2
s10_cell_states	LumHR-active	CXCL13
s10_cell_states	LumHR-active	DIO2
s10_cell_states	LumHR-active	TFF3
s10_cell_states	LumHR-active	MYBPC1
s10_cell_states	LumHR-active	EREG
s10_cell_states	LumHR-active	SLC26A3
s10_cell_states	LumHR-active	PTHLH
s10_cell_states	LumHR-active	FASN
s10_cell_states	LumHR-active	MS4A7
s10_cell_states	LumHR-active	TFF1
s10_cell_states	LumHR-active	PLCG2
s10_cell_states	LumHR-active	PNMT
s10_cell_states	LumHR-active	CA2
s10_cell_states	LumHR-active	C2CD4A
s10_cell_states	LumHR-active	GSTM3
s10_cell_states	LumHR-active	KCNMA1
s10_cell_states	LumHR-active	NNMT
s10_cell_states	LumHR-active	ANKRD30A
s10_cell_states	LumHR-active	EFHD1
s10_cell_states	LumHR-active	RGS1
s10_cell_states	LumHR-major	S100A6
s10_cell_states	LumHR-major	TNFRSF11B
s10_cell_states	LumHR-major	AC097059.1
s10_cell_states	LumHR-major	FAM107B
s10_cell_states	LumHR-major	ITGA2
s10_cell_states	LumHR-major	C15orf48
s10_cell_states	LumHR-major	SYTL4
s10_cell_states	LumHR-major	TUBA1C
s10_cell_states	LumHR-major	IER5
s10_cell_states	LumHR-major	NFKBIA
s10_cell_states	LumHR-major	RBP1
s10_cell_states	LumHR-major	SYTL2
s10_cell_states	LumHR-major	KRT8
s10_cell_states	LumHR-major	ATP1B1
s10_cell_states	LumHR-major	SPINK1
s10_cell_states	LumHR-major	PAWR
s10_cell_states	LumHR-major	HMGA1
s10_cell_states	LumHR-major	ARID5B
s10_cell_states	LumHR-major	TNFRSF12A
s10_cell_states	LumHR-major	S100A14
s10_cell_states	LumSec-HLA	CCL20
s10_cell_states	LumSec-HLA	PI3
s10_cell_states	LumSec-HLA	SAT1
s10_cell_states	LumSec-HLA	CD74
s10_cell_states	LumSec-HLA	TMSB4X
s10_cell_states	LumSec-HLA	HSPB1
s10_cell_states	LumSec-HLA	RBP1
s10_cell_states	LumSec-HLA	SLPI
s10_cell_states	LumSec-HLA	CRABP2
s10_cell_states	LumSec-HLA	IER3
s10_cell_states	LumSec-HLA	HIST1H1C
s10_cell_states	LumSec-HLA	SPARCL1
s10_cell_states	LumSec-HLA	HLA-DRB1
s10_cell_states	LumSec-HLA	NFKBIA
s10_cell_states	LumSec-HLA	SELENOM
s10_cell_states	LumSec-HLA	HLA-DRA
s10_cell_states	LumSec-HLA	SNCG
s10_cell_states	LumSec-HLA	IFI27
s10_cell_states	LumSec-HLA	SERPINB1
s10_cell_states	LumSec-HLA	ANXA1
s10_cell_states	LumSec-KIT	PLCG2
s10_cell_states	LumSec-KIT	MAFB
s10_cell_states	LumSec-KIT	SOX4
s10_cell_states	LumSec-KIT	JUN
s10_cell_states	LumSec-KIT	HES1
s10_cell_states	LumSec-KIT	HEXIM1
s10_cell_states	LumSec-KIT	CSKMT
s10_cell_states	LumSec-KIT	FOSB
s10_cell_states	LumSec-KIT	HIST1H4C
s10_cell_states	LumSec-KIT	GOLGA8A
s10_cell_states	LumSec-KIT	FOS
s10_cell_states	LumSec-KIT	SLC38A2
s10_cell_states	LumSec-KIT	IER5L
s10_cell_states	LumSec-KIT	AL355075.4
s10_cell_states	LumSec-KIT	HSPA2
s10_cell_states	LumSec-KIT	NR4A1
s10_cell_states	LumSec-KIT	HSPA1B
s10_cell_states	LumSec-KIT	XIST
s10_cell_states	LumSec-KIT	IGKC
s10_cell_states	LumSec-KIT	AC023157.3
s10_cell_states	LumSec-basal	PTN
s10_cell_states	LumSec-basal	WFDC2
s10_cell_states	LumSec-basal	MGP
s10_cell_states	LumSec-basal	RARRES1
s10_cell_states	LumSec-basal	SCGB2A2
s10_cell_states	LumSec-basal	KRT6B
s10_cell_states	LumSec-basal	CXCL8
s10_cell_states	LumSec-basal	S100A8
s10_cell_states	LumSec-basal	CCL2
s10_cell_states	LumSec-basal	S100A6
s10_cell_states	LumSec-basal	S100A9
s10_cell_states	LumSec-basal	KRT14
s10_cell_states	LumSec-basal	KRT17
s10_cell_states	LumSec-basal	KRT81
s10_cell_states	LumSec-basal	S100A10
s10_cell_states	LumSec-basal	LCN2
s10_cell_states	LumSec-basal	PI3
s10_cell_states	LumSec-basal	KRT23
s10_cell_states	LumSec-basal	ADIRF
s10_cell_states	LumSec-basal	LTF
s10_cell_states	LumSec-lac	LALBA
s10_cell_states	LumSec-lac	CSN1S1
s10_cell_states	LumSec-lac	CSN2
s10_cell_states	LumSec-lac	CSN3
s10_cell_states	LumSec-lac	LYZ
s10_cell_states	LumSec-lac	SPP1
s10_cell_states	LumSec-lac	IGKC
s10_cell_states	LumSec-lac	LTF
s10_cell_states	LumSec-lac	FDCSP
s10_cell_states	LumSec-lac	IGHA1
s10_cell_states	LumSec-lac	FABP3
s10_cell_states	LumSec-lac	ZG16B
s10_cell_states	LumSec-lac	CLU
s10_cell_states	LumSec-lac	PLIN2
s10_cell_states	LumSec-lac	XDH
s10_cell_states	LumSec-lac	S100A1
s10_cell_states	LumSec-lac	PIGR
s10_cell_states	LumSec-lac	HLA-DRA
s10_cell_states	LumSec-lac	CEL
s10_cell_states	LumSec-lac	NUPR1
s10_cell_states	LumSec-major	SCGB3A1
s10_cell_states	LumSec-major	CYP24A1
s10_cell_states	LumSec-major	MSMO1
s10_cell_states	LumSec-major	MMP7
s10_cell_states	LumSec-major	TM4SF1
s10_cell_states	LumSec-major	HMGCS1
s10_cell_states	LumSec-major	PDCD4
s10_cell_states	LumSec-major	CALML5
s10_cell_states	LumSec-major	JUND
s10_cell_states	LumSec-major	RPS18
s10_cell_states	LumSec-major	RACK1
s10_cell_states	LumSec-major	IDI1
s10_cell_states	LumSec-major	RPLP0
s10_cell_states	LumSec-major	RPS21
s10_cell_states	LumSec-major	FAM3B
s10_cell_states	LumSec-major	DBI
s10_cell_states	LumSec-major	PIGR
s10_cell_states	LumSec-major	RPS8
s10_cell_states	LumSec-major	RPS28
s10_cell_states	LumSec-major	MT-ND6
s10_cell_states	LumSec-myo	ACTA2
s10_cell_states	LumSec-myo	TAGLN
s10_cell_states	LumSec-myo	DST
s10_cell_states	LumSec-myo	TPM2
s10_cell_states	LumSec-myo	MT2A
s10_cell_states	LumSec-myo	MYLK
s10_cell_states	LumSec-myo	KRT14
s10_cell_states	LumSec-myo	CXCL14
s10_cell_states	LumSec-myo	KRT17
s10_cell_states	LumSec-myo	APOE
s10_cell_states	LumSec-myo	SPARCL1
s10_cell_states	LumSec-myo	C2orf40
s10_cell_states	LumSec-myo	CNN1
s10_cell_states	LumSec-myo	ACTG2
s10_cell_states	LumSec-myo	MYL9
s10_cell_states	LumSec-myo	MT1E
s10_cell_states	LumSec-myo	NNMT
s10_cell_states	LumSec-myo	IGFBP2
s10_cell_states	LumSec-myo	THBS1
s10_cell_states	LumSec-myo	POSTN
s10_cell_states	LumSec-prol	HMGB2
s10_cell_states	LumSec-prol	TUBA1B
s10_cell_states	LumSec-prol	HMGN2
s10_cell_states	LumSec-prol	TOP2A
s10_cell_states	LumSec-prol	PTTG1
s10_cell_states	LumSec-prol	UBE2C
s10_cell_states	LumSec-prol	HIST1H4C
s10_cell_states	LumSec-prol	TYMS
s10_cell_states	LumSec-prol	NUSAP1
s10_cell_states	LumSec-prol	PCLAF
s10_cell_states	LumSec-prol	HMGB1
s10_cell_states	LumSec-prol	PCNA
s10_cell_states	LumSec-prol	TUBB
s10_cell_states	LumSec-prol	IGKC
s10_cell_states	LumSec-prol	H2AFZ
s10_cell_states	LumSec-prol	DUT
s10_cell_states	LumSec-prol	CDK1
s10_cell_states	LumSec-prol	CENPW
s10_cell_states	LumSec-prol	TK1
