Regulator	BCa_MCF7_first	BCa_MCF7_second	PCa_LNCaP_first	BCa_NEO_new	Perv_NEO	Perv_DTP	BCa_MCF7_first_borda	BCa_MCF7_second_borda	PCa_LNCaP_first_borda	BCa_NEO_new_borda	Perv_NEO_borda	Perv_DTP_borda	borda_count	borda_fraction
DMTF1	-0.2569819797303717	0.8871502158655526	0.5650815714141071	12.163746117101523	0	0	83	344	311	286	137.5	122	1283.5	0.620048309178744
DNMT1	-0.05286985656102725	0.09119230671771156	0.26370326835108615	11.025778495587256	2.7530092445059196	1.9548176225170377	133	148	229	279	308	270	1367	0.6603864734299517
DNMT3A	-0.23450972923237615	-0.13303482807699762	-0.2911341905647816	-0.4367615708854732	0	0	89	53	22	29	137.5	122	452.5	0.21859903381642512
DNMT3B	-0.7607814657598713	-0.25526784264531355	-0.08589671294408918	0.22541529641167465	0	0	29	34	58	122	137.5	122	502.5	0.2427536231884058
E2F1	-2.446905117132468	-0.9189423675513334	-0.8997418027490949	-7.742761623667289	-3.1206795982306965	-13.607730556856513	4	0	1	2	5	3	15	0.007246376811594203
E2F2	-1.6440812010846737	-0.5585629062173686	-0.4710851961830153	-1.72703137310566	-0	-23.40220802986728	15	4	10	11	137.5	2	179.5	0.08671497584541063
E2F3	-2.026182001372395	-0.56604867794357006	-0.6128304298043626	-1.774082527364226	0	0	7	3	6	10	137.5	122	285.5	0.13792270531400966
E2F4	-1.778787690945666	-0.8617949174060665	-0.6610301372424177	-9.455167439955716	-47.425484355821915	-133.77051311782685	12	1	5	1	0	0	19	0.009178743961352657
E2F5	-0.5982420440639873	-0.16253498037386468	-0.24877841058267047	-0.4363047273664217	0	0	41	46	25	30	137.5	122	401.5	0.19396135265700484
E2F6	-1.834067073828668	-0.3328127856877282	-0.1343750103086419	-0.08847450031618752	0.11373797475857793	-0.3210485478260009	11	26	43	42	249	22	393	0.18985507246376812
EBF1	0.11014102864774047	-0.04364651314221948	0.04543887585856843	25.278779914553496	4.829877554699984	8.18288990451691	172	82	113	309	328	333	1337	0.6458937198067632
EGR1	0.28293834236233295	0.5634864654952929	0.1355824729806153	59.67486486196503	2.426694405760296	4.050326870705429	217	326	159	333	301	310	1646	0.7951690821256039
EGR2	0.32763174576302306	0.3062871934180163	0.4362680085904518	8.206924226297675	2.1947357735227073	-0.6758094286546803	232	258	285	269	297	16	1357	0.6555555555555556
EGR3	0.3017154243221105	0.21268172136722696	0.18491740198881113	5.27786011051688	0	0	223	215	186	239	137.5	122	1122.5	0.5422705314009661
ELF1	0.07763890032021116	0.07594014814706551	0.03205789078101406	10.144524168390426	0.3589353969443332	0.48460138559026766	165	141	108	276	254	230	1174	0.5671497584541063
ELF3	0.08364586718831679	0.5577018198073731	0.5676053083043375	0.022180637692771663	-1.0079805361607674	1.0684473881442187	168	324	312	84	17	246	1151	0.5560386473429951
ELF4	-0.08105440215895877	0.233701061747565	-0.06530277406451268	7.360281859986832	0	0	126	221	68	257	137.5	122	931.5	0.45
ELK1	0.8961537543705209	0.38913783272126506	0.3964967733618193	11.886460891069538	6.848458301155741	3.8941123264902098	320	288	275	283	337	306	1809	0.8739130434782608
ELK3	-0.3192746639910683	0.3079682550381971	0.4374570718897569	-1.3865632338312965	0	0	72	260	286	12	137.5	122	889.5	0.42971014492753623
ENO1	-0.3794085848978922	0.10647991114717914	0.33730970562949336	-0.16458854909240217	0	0	62	157	255	37	137.5	122	770.5	0.37222222222222223
EP300	-0.522294679319904	0.188712756798886	0.13364874281745176	3.1187943777897833	0	0	44	202	158	220	137.5	122	883.5	0.42681159420289855
EPAS1	0.2512813324227853	0.48522202918539115	0.07088646821267686	1.130322396498382	0	0	211	309	124	171	137.5	122	1074.5	0.5190821256038647
ERG	-0.34728733738395395	0.17228542562885035	0.11036887360698631	1.5315397992506152	0	0	67	192	147	188	137.5	122	853.5	0.41231884057971013
ESR1	-2.033614137310105	-0.18177599561427	-0.04665038200346627	0.03848457081271812	3.5865615701073006	11.982889708223833	6	44	79	93	317	339	878	0.4241545893719807
ESR2	-0.7928701962689128	0.14871478595916607	0.5396296328481712	0.19068497198024098	-1.0705922633855156	4.388920230560218	28	181	304	115	16	311	955	0.4613526570048309
ESRRA	-2.5973255935357407	-0.4108024451027123	-0.1756118140125451	-0.7541508244618618	-6.074624810696271	1.175156938305299	3	19	35	21	2	253	333	0.1608695652173913
ETS1	0.7465670086058916	0.7529403005983539	0.8467812208368328	58.03166116733245	3.5337955636562817	1.0886628455126621	303	339	336	332	315	249	1874	0.9053140096618357
ETS2	0.4157017659076334	0.7233321277657995	0.5923779495162143	29.789182383685446	1.6371522938629497	-0.35898861572134716	256	337	316	313	289	21	1532	0.740096618357488
ETV4	0.7551817656152888	0.3161582309644229	0.22845460743716103	19.61308724034297	0	0	305	266	213	303	137.5	122	1346.5	0.6504830917874396
ETV6	0.7532852996157053	0.4104419822202131	0.25350753597870324	0.0014315394150041208	-0.5943310310652414	2.0398940894549766	304	293	224	63	22	272	1178	0.5690821256038647
EWSR1	-0.4766015310872818	-0.06114960661500867	-0.2400880984223781	0.005664153893094718	0	0	49	75	27	72	137.5	122	482.5	0.23309178743961353
EZH2	-1.4642792816991497	-0.24445112044476183	-0.14430432629186318	0.25329116462188256	0	0	16	35	40	126	137.5	122	476.5	0.23019323671497585
FLI1	-0.3925970580409093	-0.12145566270116404	-0.04901526938755563	6.16055504301344	-0	1.0755945152731616	59	57	76	245	137.5	247	821.5	0.3968599033816425
FOS	0.24816950283012465	0.3624656174363836	0.715268799956728	27.747568355525743	0.9737275021708482	7.784518815296603	210	279	328	311	275	331	1734	0.8376811594202899
FOSB	0.4634147609631482	0.2126020762020962	-0.0605588624547676	0.08214169090651989	0	0	262	214	69	103	137.5	122	907.5	0.4384057971014493
FOSL1	-0.2596631275187685	0.2045886542806012	-0.01655190061967193	0.024174885471060847	0	0	81	210	89	85	137.5	122	724.5	0.35
FOSL2	0.06049405799613153	0.19295574066405105	0.4126858781964333	-0.015013326751404085	0	0	158	205	281	52	137.5	122	955.5	0.46159420289855074
FOXA1	-2.636156694166485	-0.4146385577286586	0.1550596382974726	-7.62296904085077	-5.822995889332811	7.221215357080018	2	18	169	3	3	328	523	0.25265700483091785
FOXA2	-1.3823910362167935	-0.05468665792229391	0.4032059634762004	0.3005875194672727	0	0	18	77	278	133	137.5	122	765.5	0.36980676328502415
FOXC1	-0.07285470534195496	0.08847358822769542	-0.05826640192908106	5.558332627494517	0	0	129	146	70	242	137.5	122	846.5	0.40893719806763285
FOXC2	0.39161318302091275	0.17459939789599574	0.33661125826070765	0.43317626635894013	0	0	250	194	254	144	137.5	122	1101.5	0.5321256038647343
FOXL2	0.5625175969909142	0.373929576816104	0.18054139597196955	-2.4433147916555495	6.35690226860803	0.2447490428105087	287	283	183	8	334	221	1316	0.6357487922705314
FOXM1	-0.2712999768912221	0.10465935827147492	0.11566334056100076	0.094922821180412	-1.8389877126395398	-2.7416307460997285	79	155	148	105	10	6	503	0.2429951690821256
FOXN1	0.2669014253688807	0.01985818392041707	0.1581713443632943	0.2506446300638442	0	0	214	111	173	124	137.5	122	881.5	0.42584541062801934
FOXO1	1.1329994107507306	0.4665632859542688	0.5336040885782298	87.55180878843098	3.8635889977730598	4.662246212311572	330	306	302	335	321	316	1910	0.9227053140096618
FOXO3	0.6073411838975277	0.5797320224425669	1.0818896122719437	13.281066850883127	0.7664735588910133	17.67372809825207	292	329	341	289	263	344	1858	0.8975845410628019
FOXO4	0.2796521137796885	0.04752635886421277	0.10868673646740828	0.5028155169107966	-0	1.1413078269771721	216	125	146	148	137.5	251	1023.5	0.49444444444444446
FOXP3	0.28844352679704954	0.1912480480131806	0.2192654239459394	-0.01889361971221724	0	0	219	203	207	50	137.5	122	938.5	0.4533816425120773
GABPA	-0.25936612395100245	-0.10232192630038864	0.1560324631145562	0.012692723865411686	0.8971337917985949	-0.9225615666932477	82	61	171	77	273	15	679	0.3280193236714976
GATA1	-0.15117510746159696	0.00716575194075423	0.3946697507539696	0.266262400063404	0	0	109	106	274	128	137.5	122	876.5	0.42342995169082126
GATA2	0.14791348100954255	-0.03513841750283183	0.24576776460402697	27.72420049998156	5.587961945051844	-0.2853381128285185	186	88	221	310	332	24	1161	0.5608695652173913
GATA3	-0.5029722524708028	0.09850118634833648	0.08219767783721832	0.0016497246122038906	0.8355764820539155	3.590634645187563	46	152	130	64	269	296	957	0.4623188405797101
GATA4	0.19338770628496477	0.2659954067634957	0.3941225303902636	0.3093188029176645	0	0	192	236	272	135	137.5	122	1094.5	0.528743961352657
GATA6	-1.9071189073693449	-0.05231554074617278	0.21991932656240376	0.14854945813114684	0.7913756194760566	3.639615516004552	10	79	208	112	265	299	973	0.47004830917874396
GFI1	0.08957743564731564	0.08221953099068936	-0.00238999221598787	1.0201727026227407	0	0	171	143	95	168	137.5	122	836.5	0.4041062801932367
GLI1	-0.11186007632658274	0.2735971444205419	0.17211866889798577	15.325545923091042	3.117735935375864	0.18772584855739222	117	240	177	296	310	220	1360	0.6570048309178744
GLI2	-1.0845943207752078	-0.4220495503126406	-0.1940602801499184	1.0964484531067498	-0.7760023876729586	-0	23	17	29	170	19	122	380	0.18357487922705315
GLI3	0.4494383269369876	0.2927717460080456	0.1844260188070963	0.2946207011594903	-0	0.579632498487948	259	252	185	132	137.5	237	1202.5	0.5809178743961353
GTF2I	-0.16404728294132093	0.24799397909154272	0.10293820092689256	0.1063737584089788	0	0	105	231	142	107	137.5	122	844.5	0.40797101449275364
GTF3A	-0.4906244949869525	0.13600208534667274	-0.41438110211964296	0.10004204888623144	0	0	47	175	15	106	137.5	122	602.5	0.29106280193236717
HAND2	-0.2829706665223526	0.05987885497725297	0.25568188154502347	7.011153879681472	0	0	75	134	225	255	137.5	122	948.5	0.45821256038647346
HBP1	0.7247084484821354	0.2446071646190492	0.7317516498970005	1.8816437901519423	-0	0.9640790425173004	299	228	329	192	137.5	243	1428.5	0.6900966183574879
HDAC1	1.4417568186019525	0.27380463120514215	-0.7290470601283067	-0.035556394638476534	0	0	338	241	2	45	137.5	122	885.5	0.42777777777777776
HDAC3	-0.2458666069123076	-0.390604825047046	-0.04689510735746538	-0.27195635631010556	0	0	87	21	78	34	137.5	122	479.5	0.2316425120772947
HDAC4	0.18800439103572344	0.01271274967884518	0.1427980417572306	4.347340506738604	0	0	191	108	161	229	137.5	122	948.5	0.45821256038647346
HES1	0.03820047613075003	0.1795067365220766	0.21857589823564988	0.4367860389918105	1.7612751776728885	2.199381943527184	151	195	206	145	290	274	1261	0.6091787439613526
HEY1	0.07312195414267178	0.00413868479764985	0.1257373094515396	-11.477556044827748	0	0	164	103	154	0	137.5	122	680.5	0.328743961352657
HIC1	-0.3431106456526452	-0.3160412799579177	0.06537272964585639	0.525242816511739	0	0	68	28	121	150	137.5	122	626.5	0.3026570048309179
HIF1A	-0.18923313629187305	0.47765517807545654	0.5507156300222027	36.870376521341285	3.6016824824797187	3.8650355850432394	102	308	307	318	318	305	1658	0.8009661835748793
HMGA1	-0.3342815440079572	-0.03768755979692915	-0.07596100865740293	11.143115616154624	-0	0.53700805031149	70	86	62	280	137.5	234	869.5	0.420048309178744
HMGA2	0.06180238620887601	0.01942725459588782	0.23436746100522457	8.316847088476631	0	0	159	109	216	270	137.5	122	1013.5	0.4896135265700483
HNF1A	0.2075715238653057	-0.13225145330289356	0.8183373004439112	0.8850497993409265	-0	0.4140106693538798	197	54	335	162	137.5	228	1113.5	0.5379227053140097
HNF1B	-0.12056583143753524	0.34321177265694824	0.20169151537378993	4.74416753463787	1.1940309052321394	1.1042571322972379	116	276	200	232	283	250	1357	0.6555555555555556
HNF4A	0.7819330479824594	0.4282795454761518	0.9735988473163496	2.3459916516721164	2.031178654197342	0.5232270367236439	307	295	340	201	293	232	1668	0.8057971014492754
HOXA1	-0.3688782950305391	0.1885830680777853	-0.0528191360115694	0.060310785524443834	0	0	64	201	74	98	137.5	122	696.5	0.33647342995169083
HOXA10	-0.195764213675988	-0.00417367910917199	0.17169381525920546	-0.49537482215339823	0	0	101	100	176	26	137.5	122	662.5	0.32004830917874394
HOXA9	-0.35544394502728965	-0.22887799652530455	-0.07100519151995455	0.0291018152246551	2.693616421575935	-0	66	38	65	89	307	122	687	0.3318840579710145
HR	0.06924857411018569	0.34142774420450606	0.221251881471755	0.1450398009185439	0	0	162	275	210	110	137.5	122	1016.5	0.4910628019323672
HSF1	0.23968780177677215	0.5128998063153183	0.2566133488850615	45.15655312443715	0	0	208	314	226	324	137.5	122	1331.5	0.6432367149758454
HSF2	0.5049478305750229	0.5329355405305343	0.49159308859003126	6.603328943887725	0	0	269	318	293	249	137.5	122	1388.5	0.6707729468599034
ID1	-0.2492395558821462	0.08650149979254472	0.279620665946152	1.1342233509124713	0	0	86	145	234	175	137.5	122	899.5	0.4345410628019324
ID2	-1.7179453160839782	-0.3053434139459219	0.40919995600980574	0.11675762832264563	0	0	13	29	280	108	137.5	122	689.5	0.33309178743961354
ID3	0.5561410044345737	0.37969543516671533	0.522346821684901	0.45331648663336904	0	0	284	285	299	146	137.5	122	1273.5	0.6152173913043478
IKZF1	-0.1094740423571747	-0.34087623986116905	0.09786929013941437	2.8855258549151666	0.5409326065139369	0.14494915919265555	119	25	138	215	259	217	973	0.47004830917874396
IRF1	2.052104295376224	0.5184190721138477	0.6051852584950448	47.695066365554375	-0	0.9653993913118836	342	315	320	325	137.5	244	1683.5	0.8132850241545894
IRF2	0.512733309872592	0.2765347781861558	0.13102216158544278	0.884955991058512	0.5508200711774952	0.6195529249183008	272	243	157	161	260	240	1333	0.6439613526570048
IRF3	0.5624945415068955	0.2787447685754419	0.3150135445708535	4.992999599764111	-0.0996503732180057	-1.5051458575097458	286	245	247	238	26	14	1056	0.5101449275362319
IRF4	0.789122275955861	0.3075535127284986	0.32585958274502586	23.63542255404302	2.3772740285888325	6.439861384950236	308	259	250	307	300	326	1750	0.8454106280193237
IRF8	0.6066802816488015	0.1590287751716649	0.00956430571458044	8.19011325084507	0	0	291	188	96	268	137.5	122	1102.5	0.532608695652174
IRF9	0.3189656371774475	-0.00671885496456258	0.15230137439133895	1.5953347550550199	0	0	228	99	166	190	137.5	122	942.5	0.4553140096618358
ISL1	-0.274852135680949	0.2340689606182627	0.17983074261960363	-0.10847980401646704	0	0	77	222	182	40	137.5	122	780.5	0.37705314009661833
JDP2	1.222256821959138	0.12190176940920658	0.22635998900135268	1.5282978573129276	0	0	332	169	211	187	137.5	122	1158.5	0.5596618357487922
JUN	-0.34307699659580343	0.5452408494251515	0.7575785903992516	182.38382582498855	4.1473811935516975	12.51789350050942	69	320	331	343	322	341	1726	0.8338164251207729
JUNB	0.3975482392710403	0.3723339499332301	0.28222900658093175	5.550926948457578	1.8355788956475123	0.6158300368159849	253	282	236	241	291	239	1542	0.744927536231884
JUND	0.999607376047036	0.7278234298452919	0.5735675125895319	7.768658112875598	-0	3.237185516357515	326	338	313	263	137.5	287	1664.5	0.8041062801932367
KAT5	-0.4829602667153698	0.02506051329016903	0.19951526130127195	-0.5623419833455002	0	0	48	114	197	24	137.5	122	642.5	0.3103864734299517
KAT7	0.6693625935132886	0.5722321526293676	0.6835274725387194	1.0831218294131892	0	0	298	327	324	169	137.5	122	1377.5	0.6654589371980676
KDM5B	0.47590726259050486	0.5209290278481619	0.01211450640714486	-1.2266401529734274	0	0	265	316	99	15	137.5	122	954.5	0.46111111111111114
KLF10	0.8505801890754588	0.510928118222489	0.453752393186666	0.21017531577397794	0	0	317	313	290	119	137.5	122	1298.5	0.6272946859903382
KLF15	-1.4315097562642456	-0.22817646218767673	-0.503674327371995	8.81396999250386	0	0	17	39	8	275	137.5	122	598.5	0.2891304347826087
KLF2	0.2396245101490118	-0.01696251212060308	0.12408079543408528	0.8219769697521241	0	0	207	94	152	160	137.5	122	872.5	0.4214975845410628
KLF4	0.12537853979254884	0.18078028508934493	-0.03914000999105627	2.098963048442425	-0	4.656155441322816	180	198	82	194	137.5	315	1106.5	0.5345410628019324
KLF5	-0.7183130673642497	-0.13103402179312207	0.0980059173522499	0.3868762915235231	-1.1667667040511767	16.486242635683897	33	56	139	142	13	343	726	0.3507246376811594
KLF6	1.6495114666102466	0.6320259318883374	1.2698464941280585	11.681185286492099	0.8078772046064722	6.189890647617864	340	333	343	281	267	324	1888	0.9120772946859903
KLF8	-0.4648778052464274	-0.05112703956925501	0.02486861053320976	-0.03605991307459981	0	0	50	80	105	44	137.5	122	538.5	0.26014492753623186
KLF9	0.33106551428932773	-0.07805981571146275	-0.04547376768360145	-0.3158664827179027	1.069317149318509	1.1896365546697134	235	68	80	33	279	254	949	0.45845410628019323
KMT2A	0.285065084464795	0.24336045589033048	0.06439666825413415	0.013051139982099894	0	0	218	227	120	78	137.5	122	902.5	0.4359903381642512
LEF1	-0.08053354638574652	0.17003027344563637	-0.09066297627742714	1.3009878266613941	-2.1743737845495743	-0	127	190	56	179	8	122	682	0.3294685990338164
LHX2	0.3369498675164758	0.34830926145819474	0.3616550869479144	2.2676757009209525	0	0	238	277	263	200	137.5	122	1237.5	0.5978260869565217
LITAF	0.05195942458204811	0.3027331028121286	0.1875144575257748	-0.23003991741732038	0	0	155	256	187	35	137.5	122	892.5	0.4311594202898551
LMO2	0.01622461893217325	0.02176449861234441	0.09874956863775586	7.758596481147832	0	0	144	112	140	261	137.5	122	916.5	0.4427536231884058
MAF	0.3797909281409585	0.03223244042430381	0.15585792547779467	13.57813427022252	0.9305191991629022	1.7670955029794302	247	117	170	290	274	266	1364	0.6589371980676328
MAFB	0.5402134424853533	0.3321729246911316	0.2690300264719667	2.3735751367185722	2.4342953127804723	3.5787208396017425	281	269	231	202	302	295	1580	0.7632850241545893
MAFK	0.29343689802180406	0.27185430550456313	0.22830911238574095	1.1326580332400047	3.4621075471718523	12.013688479856825	221	239	212	174	314	340	1500	0.7246376811594203
MAX	0.5189504812337211	-0.103109250769556	-0.00915407802873691	7.02246851160622	-0.4170702040683854	2.3991663541482366	275	60	93	256	24	277	985	0.4758454106280193
MAZ	-0.07014559416338657	0.11633655963586062	-0.06918145933070385	1.5245430419317225	0.4671826215886016	-0.2331792769497074	130	166	67	186	256	25	830	0.40096618357487923
MBD2	-0.15382169356888786	0.11723084723224332	-0.02616842309894976	-0.03421023035543843	-0.08403133925031124	1.5504356036837317	108	168	84	47	28	262	697	0.3367149758454106
MECP2	3.196767660230435	0.5480752268370155	-0.18355059791841263	1.4941164999864105	0	0	345	322	32	184	137.5	122	1142.5	0.5519323671497585
MEF2A	0.39554319777537705	0.32305277264516485	0.31161471362807847	21.398077241128828	9.197626905082409	7.453420796646177	252	267	244	305	343	329	1740	0.8405797101449275
MEF2C	0.4066428486380649	0.2136196281464112	0.3381929339884551	6.163372449484497	11.199855173772319	4.645312856245024	255	216	256	247	344	314	1632	0.7884057971014493
MEIS1	-0.3927764941828936	0.29413509409639116	0.03343529558180716	-6.879942635303625	11.245128712364851	7.850224880765966	58	253	110	4	345	332	1102	0.5323671497584541
MITF	0.5109726057762228	0.15127054804261533	0.18867901493407796	40.8498337710904	3.692418781149689	2.2215377924433257	270	183	188	323	320	275	1559	0.7531400966183575
MSX1	0.01397644096666853	0.08033472577703256	-0.1531266951836403	1.5131117568121948	0	0	143	142	38	185	137.5	122	767.5	0.37077294685990336
MSX2	-0.20171368871504283	-0.02478628630419907	0.09245465959914162	-2.6949161653257123	0	0	96	91	135	7	137.5	122	588.5	0.28429951690821254
MTA1	-1.991132452469423	-0.5409943898782035	-0.11171890777455074	0.03823802537424986	0	0	8	9	49	92	137.5	122	417.5	0.20169082125603865
MTF1	-0.9161400368568672	-0.21773284831631667	-0.4247738432449122	0.6474561637877998	0	0	27	40	14	153	137.5	122	493.5	0.23840579710144927
MXD1	-0.215572880122184	0.00558217097748085	-0.04356050588978288	0.32256769411769776	0	0	93	104	81	137	137.5	122	674.5	0.3258454106280193
MYB	-0.4432553359075164	0.1113933740248488	-0.01345498673757361	7.760429369291554	-0.4309499577689374	-0.5398880066708384	53	162	90	262	23	19	609	0.2942028985507246
MYBL2	-0.7542597478501146	0.03652796491251847	-0.3876174360371314	-0.13589032216915542	-1.1315483990650974	-1.972942648478374	31	119	17	39	14	10	230	0.1111111111111111
MYC	-1.9367354792541431	-0.5448787313063121	-1.294897259287282	-0.00802628976185357	-7.345594351847368	-28.20533589157356	9	7	0	53	1	1	71	0.03429951690821256
MYCN	-1.101617048299344	-0.5520404847727443	-0.4002467962745516	-1.3024303597201399	0	0	22	5	16	14	137.5	122	316.5	0.15289855072463768
MYOD1	0.20626229546609928	0.2906654158516026	0.33458928476405086	4.431057653119795	0.8618564119131461	0.16817425714507744	196	250	253	230	271	218	1418	0.6850241545893719
MYOG	-0.03808185496532258	0.04153217259354294	0.528062103000484	0.067451729430282	0	0	135	123	300	99	137.5	122	916.5	0.4427536231884058
NANOG	-0.36264788343708937	0.11207236651334276	0.01301070039343593	0.0016944742723039579	1.0294554692234887	3.192718653393193	65	163	100	65	278	286	957	0.4623188405797101
NCOA1	0.3298514703622246	0.26522841217953413	0.20203947818669787	1.1488356325395022	0	0	234	235	201	176	137.5	122	1105.5	0.5340579710144927
NCOA2	-0.6558738115169819	0.2768323308035064	0.11693822862415187	0.1756092402589915	0	0	37	244	149	114	137.5	122	803.5	0.38816425120772946
